,train_loss,test_loss,train_acc,test_acc,all_loss,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,logit_a5_5d_a_rep_trace_similarity,logit_excluded_loss_a5_5d_a_rep,logit_restricted_loss_a5_5d_a_rep,logit_a5_3d_a_rep_trace_similarity,logit_excluded_loss_a5_3d_a_rep,logit_restricted_loss_a5_3d_a_rep,logit_a5_3d_b_rep_trace_similarity,logit_excluded_loss_a5_3d_b_rep,logit_restricted_loss_a5_3d_b_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,epoch
330,4.09166370996105,4.108553035982963,0.01805555447936058,0.015277777798473835,4.098419439900668,-5.328111e-05,4.091644300423647,4.094363972165939,3.561366e-05,4.091679925193251,4.094328344970957,0.0001330399,4.091700911333547,4.094307354226011,0.00010019448,4.091691723502776,4.094316540270992,3.1845758e-08,4.091745141526235,4.094263115024613,0
27,4.0874450437940935,4.116594921889146,0.017129629850387573,0.014583333395421505,4.0991049951458125,-5.145848e-07,4.08744483988842,4.094344765905487,7.475377e-05,4.087482023909809,4.094307575875725,0.0001244382,4.0874828492271025,4.094306747930382,9.462668e-05,4.087473787119828,4.094315807042273,3.0027465e-08,4.087548571733263,4.094241006411983,1
344,4.0849128437230515,4.125309121608633,0.021759258583188057,0.010416666977107525,4.101071355085099,2.5383764e-05,4.0849247678127725,4.094332634841998,9.816664e-05,4.084970489965911,4.094286903813305,8.818775e-05,4.084944644301373,4.094312749472874,0.00010658958,4.0849512711506195,4.094306111228745,2.941944e-08,4.085040722097965,4.094216640069702,2
314,4.083074666335761,4.1331332326569585,0.02222222089767456,0.009722222574055195,4.103098092793301,5.892584e-05,4.083106246110753,4.09431297831444,0.0001298209,4.083161622502509,4.094257583233323,0.00010369986,4.083117319236623,4.094301890304917,0.00011538458,4.08312211214167,4.094297082116356,4.4392984e-08,4.083251721653965,4.094167431232517,3
391,4.0816712509790785,4.1393670790157975,0.021296296268701553,0.009027778171002865,4.104749582143954,5.8514895e-05,4.081705395156651,4.094310411398245,0.00013116715,4.08176691374379,4.094248871564587,9.606604e-05,4.081714274646044,4.094301518616904,0.00011515152,4.081722805374934,4.094292967149807,4.311737e-08,4.081861487416042,4.09415423290499,4
153,4.080364571821098,4.143751129112403,0.024074073880910873,0.009027778171002865,4.10571919490082,6.130873e-05,4.080402031886873,4.094307092182933,0.00014061775,4.0804719641663505,4.094237135681989,0.00010618137,4.080414367091739,4.094294741040767,0.00013633759,4.0804284897856435,4.094280591541323,5.339453e-08,4.080585673094961,4.0941233438524804,5
23,4.0789383770137535,4.146577746136289,0.02361111156642437,0.008333333767950535,4.105994125512078,8.259923e-05,4.078989609298297,4.094293314922538,0.00016447443,4.079065888372728,4.094217005610099,0.0001343675,4.07900234623543,4.094280560318223,0.00016536715,4.079017076524998,4.0942657946263035,7.927539e-08,4.079208555257682,4.0940742361607505,6
378,4.0773352962712375,4.148344298421469,0.02222222089767456,0.0062500000931322575,4.1057388971942785,9.708598e-05,4.077395008107784,4.094284828478736,0.00019966485,4.077488798362589,4.0941910035647355,0.00016394013,4.077412690254715,4.094267124598636,0.00018033572,4.077420399198201,4.094259380131644,1.0868908e-07,4.0776512952594315,4.09402838389583,7
507,4.075558349812539,4.149539036805768,0.025462962687015533,0.004861111287027597,4.105150625125334,0.00011957936,4.075630171311625,4.094272715772604,0.00023250944,4.07573290440747,4.094169940140274,0.00019338168,4.075647498034684,4.094255361613204,0.0001937641,4.075647644844954,4.094255185212177,1.4330087e-07,4.075911347304043,4.0939913625880635,8
723,4.073612926062739,4.1505902266296015,0.025925925001502037,0.0034722222480922937,4.104403846542963,0.00014030034,4.073694516226117,4.094262940759605,0.00026642144,4.07380659028673,4.094150820010409,0.00022531208,4.073713495487623,4.0942439308482035,0.00022525282,4.073713433425585,4.094243957308998,1.9216894e-07,4.074007672257823,4.0939495838015105,9
