,train_loss,test_loss,train_acc,test_acc,all_loss,percent_x_embed_trivial_rep,percent_y_embed_trivial_rep,percent_unembed_trivial_rep,percent_hidden_x_trivial_rep,percent_hidden_y_trivial_rep,percent_hidden_xy_trivial_rep,total_percent_hidden_trivial_rep,hidden_excluded_loss_trivial_rep,hidden_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,percent_x_embed_sign_rep,percent_y_embed_sign_rep,percent_unembed_sign_rep,percent_hidden_x_sign_rep,percent_hidden_y_sign_rep,percent_hidden_xy_sign_rep,total_percent_hidden_sign_rep,hidden_excluded_loss_sign_rep,hidden_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,percent_x_embed_standard_rep,percent_y_embed_standard_rep,percent_unembed_standard_rep,percent_hidden_x_standard_rep,percent_hidden_y_standard_rep,percent_hidden_xy_standard_rep,total_percent_hidden_standard_rep,hidden_excluded_loss_standard_rep,hidden_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,percent_x_embed_standard_sign_rep,percent_y_embed_standard_sign_rep,percent_unembed_standard_sign_rep,percent_hidden_x_standard_sign_rep,percent_hidden_y_standard_sign_rep,percent_hidden_xy_standard_sign_rep,total_percent_hidden_standard_sign_rep,hidden_excluded_loss_standard_sign_rep,hidden_restricted_loss_standard_sign_rep,logit_s5_5d_a_rep_trace_similarity,logit_excluded_loss_s5_5d_a_rep,logit_restricted_loss_s5_5d_a_rep,percent_x_embed_s5_5d_a_rep,percent_y_embed_s5_5d_a_rep,percent_unembed_s5_5d_a_rep,percent_hidden_x_s5_5d_a_rep,percent_hidden_y_s5_5d_a_rep,percent_hidden_xy_s5_5d_a_rep,total_percent_hidden_s5_5d_a_rep,hidden_excluded_loss_s5_5d_a_rep,hidden_restricted_loss_s5_5d_a_rep,logit_s5_5d_b_rep_trace_similarity,logit_excluded_loss_s5_5d_b_rep,logit_restricted_loss_s5_5d_b_rep,percent_x_embed_s5_5d_b_rep,percent_y_embed_s5_5d_b_rep,percent_unembed_s5_5d_b_rep,percent_hidden_x_s5_5d_b_rep,percent_hidden_y_s5_5d_b_rep,percent_hidden_xy_s5_5d_b_rep,total_percent_hidden_s5_5d_b_rep,hidden_excluded_loss_s5_5d_b_rep,hidden_restricted_loss_s5_5d_b_rep,logit_s5_6d_rep_trace_similarity,logit_excluded_loss_s5_6d_rep,logit_restricted_loss_s5_6d_rep,percent_x_embed_s5_6d_rep,percent_y_embed_s5_6d_rep,percent_unembed_s5_6d_rep,percent_hidden_x_s5_6d_rep,percent_hidden_y_s5_6d_rep,percent_hidden_xy_s5_6d_rep,total_percent_hidden_s5_6d_rep,hidden_excluded_loss_s5_6d_rep,hidden_restricted_loss_s5_6d_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,total_hidden_excluded_loss,total_hidden_restricted_loss,test_loss_restricted_loss_ratio,sum_of_squared_weights,percent_hidden_explained,percent_hidden_xy_explained,percent_x_embed_explained,percent_y_embed_explained,percent_unembed_explained,epoch
330,4.78662118315849,4.78940384095948,0.00798611156642437,0.007407407276332378,4.788290778054248,0.0077361655,0.008737484,0.0070344633,1.857267e-15,1.857267e-15,1.857267e-15,5.5718005e-15,4.786221630164845,4.787884558822829,0.00020247966,4.786631311110823,4.787481615112334,0.009626192,0.0072060046,0.0094902655,0.0039692624,0.0028077955,7.2995103e-06,0.0067843576,4.7866308659260275,4.787481621906993,0.0007367993,4.786768595804081,4.78734432918384,0.13115498,0.14000896,0.12871437,0.05793482,0.057917815,0.00015960055,0.11601224,4.7867724505617755,4.787344466801121,-7.4890355e-05,4.786606200592626,4.787506726390493,0.13838169,0.13002765,0.13300103,0.05903072,0.05469668,0.0001679477,0.11389535,4.786612893560948,4.7875068777199985,0.00022946531,4.786678569712987,4.787434355340194,0.21157455,0.2124342,0.2062332,0.09272728,0.08970338,0.0002695361,0.18270019,4.786676457719708,4.787434580038534,0.00039686222,4.7867204342794345,4.787392490789935,0.20157503,0.21006444,0.21798308,0.0898535,0.08937613,0.00024814933,0.17947778,4.786732375638874,4.787392703404585,0.0005067382,4.78677325979623,4.7873396655192035,0.29995137,0.2915212,0.29754362,0.13100334,0.12621823,0.00036404803,0.25758561,4.78677683850174,4.787339978472525,1.0564174e-06,4.786778723603639,4.787334201510027,4.786782133665271,4.787334345938866,1.0004322854580585,452.74112,0.122796595,0.00016690006,0.14078118,0.14721496,0.13820463,0
27,4.783266008055992,4.790751655309569,0.008854166604578495,0.007175925653427839,4.787757396471718,0.0077914973,0.008884159,0.0070373816,2.2520385e-15,2.2520385e-15,2.2520385e-15,6.756115e-15,4.783029529559735,4.787874198249958,0.0003080856,4.7832813260884555,4.787476424100035,0.009684989,0.007088717,0.009502358,0.003998455,0.0027878575,7.619979e-06,0.006793933,4.783280936041999,4.787476431215877,0.001078547,4.783480512123009,4.787277231847436,0.13105832,0.14072406,0.12870535,0.05777525,0.05835345,0.00016248511,0.11629118,4.783485737668837,4.787277370919289,0.0003062858,4.783326921463063,4.787430825666844,0.13802463,0.12985052,0.13297278,0.058872934,0.05474766,0.00016769266,0.113788284,4.783334338904649,4.787430976190391,0.0006801689,4.78343509971711,4.7873226447292065,0.21111843,0.2119306,0.20627162,0.092541926,0.08944448,0.00027025823,0.18225667,4.783434022223325,4.787322868981607,0.00083406235,4.783473358229762,4.787284385150922,0.2023248,0.21013094,0.21789752,0.09014805,0.0895861,0.0002502776,0.17998442,4.783487290889823,4.787284599153275,0.0010144745,4.783568649690362,4.787189090556494,0.29999736,0.29139102,0.297613,0.13059454,0.12624563,0.00036479774,0.25720498,4.783573199550724,4.787189403417911,3.5394396e-06,4.783495830328604,4.787261913163835,4.78350066537366,4.787262059359304,1.0007289335547116,451.84656,0.12308511,0.0001701051,0.14074332,0.14781278,0.1382077,1
344,4.780017821827455,4.7920891333369715,0.01059027761220932,0.0069444444961845875,4.787260608770808,0.007854945,0.009004109,0.0070341527,1.5258166e-15,1.5258166e-15,1.5258166e-15,4.57745e-15,4.779938289184625,4.787868703916694,0.00041713557,4.780038537657928,4.787471026602711,0.009734381,0.0069786985,0.009514079,0.0040282467,0.0027724113,7.899183e-06,0.006808557,4.780038237261519,4.787471034029794,0.0014060821,4.78029712770544,4.787212421644028,0.13093516,0.1414034,0.12870044,0.05763468,0.058805887,0.00016571386,0.11660628,4.7803035533351075,4.787212563717041,0.00066970394,4.780150849639518,4.787358704094546,0.1376976,0.12964933,0.13294852,0.058746986,0.054798376,0.00016778323,0.11371314,4.780159022299083,4.7873588552837765,0.0011074723,4.780292807805227,4.787216739784837,0.21066552,0.21136391,0.20632096,0.09238099,0.08919121,0.00027084353,0.18184304,4.7802926487422335,4.787216964905383,0.0012545947,4.78032934033727,4.78718020722284,0.20305286,0.2103313,0.21781367,0.09044241,0.08984098,0.00025271595,0.1805361,4.780344938152985,4.7871804241696845,0.0014901995,4.780461844058101,4.787047694788214,0.30005956,0.29126927,0.29766822,0.13020594,0.12627569,0.0003659785,0.25684762,4.780467156519849,4.787048009450778,7.62077e-06,4.780317843001665,4.787191705460783,4.78032396843725,4.78719185493881,1.0010229960583485,451.24854,0.12341484,0.00017361305,0.14066954,0.14838211,0.13821451,2
314,4.776869185533305,4.793421443250676,0.01354166679084301,0.006481481250375509,4.786800540109168,0.007925386,0.009096012,0.0070269695,1.8891569e-15,1.8891569e-15,1.8891569e-15,5.6674703e-15,4.776941298327932,4.787867917587045,0.0005276765,4.776895480731911,4.787465445283164,0.009769023,0.006877739,0.009524784,0.004056476,0.002759506,8.1420185e-06,0.006824124,4.776895325898252,4.787465452965452,0.0017159157,4.777211220154697,4.787149681639617,0.13079774,0.1420471,0.1286988,0.057518348,0.059259605,0.00016894708,0.116946906,4.777218688268087,4.787149827637313,0.0010049891,4.777069507053195,4.787291401212816,0.13737577,0.12940812,0.13292676,0.058639552,0.054845616,0.00016762129,0.113652796,4.777078297465904,4.787291553857009,0.0015090178,4.777245175451604,4.787115720569724,0.21027166,0.21083803,0.2063717,0.09227081,0.088971116,0.00027121123,0.18151315,4.777246033956011,4.787115947942566,0.0016418868,4.777278283172517,4.78708261207755,0.20373096,0.21059017,0.21773447,0.09073512,0.09009926,0.0002551638,0.18108955,4.777295499227852,4.787082833447284,0.0019345568,4.777447609940344,4.786913271663319,0.30012944,0.29114282,0.29771656,0.12987643,0.1263198,0.00036742986,0.25656366,4.777453534566614,4.786913590874206,1.2948249e-05,4.777237515780032,4.787123384142328,4.777244828984073,4.787123537835722,1.0013155928325594,450.94598,0.12377103,0.0001770891,0.14056677,0.14892484,0.13822357,3
391,4.773806866691714,4.794758112724626,0.01597222313284874,0.006828703451901674,4.7863776143881305,0.008007105,0.009169844,0.007017157,1.5348421e-15,1.5348421e-15,1.5348421e-15,4.604526e-15,4.77402647850025,4.787871631133166,0.00062887196,4.773838452277004,4.787460153063031,0.009786994,0.0067867106,0.009535704,0.004076663,0.0027502298,8.344625e-06,0.006835237,4.7738384043492275,4.787460160954872,0.00200819,4.774210332516012,4.787088237085409,0.13067688,0.14264867,0.12869969,0.057429522,0.0597112,0.00017189457,0.11731262,4.774218774352206,4.787088387490421,0.0013146817,4.774070993798595,4.7872275825612896,0.13706756,0.12915006,0.13290669,0.0585466,0.05489329,0.00016717025,0.11360706,4.7740802877838115,4.787227737102908,0.0018741498,4.77427753450966,4.787021025032223,0.20992224,0.21032898,0.20642242,0.09221224,0.08878914,0.00027171033,0.18127309,4.774279237150226,4.787021256611288,0.0019976061,4.77430853980337,4.786990017628434,0.20436662,0.21091253,0.21766207,0.09102622,0.09038817,0.00025714672,0.18167154,4.774327397745848,4.786990244229445,0.0023335516,4.774510116741999,4.786788419792436,0.30017263,0.2910032,0.2977563,0.12958471,0.12637596,0.00036856413,0.25632924,4.7745164454677145,4.786788745082363,1.9105026e-05,4.774241918272943,4.787056647356601,4.774250312406729,4.787056805666709,1.001608777035777,450.9336,0.124147855,0.00018023919,0.14046387,0.14943537,0.13823539,4
153,4.77081872756517,4.7961008001247665,0.01875000074505806,0.0062500000931322575,4.785987971111756,0.00809259,0.0092272125,0.007005082,2.1435122e-15,2.1435122e-15,2.1435122e-15,6.4305365e-15,4.771182351549759,4.787879792777659,0.0007195008,4.770855303868631,4.787455159459781,0.009792773,0.0067089987,0.009547718,0.004090988,0.0027446873,8.581524e-06,0.006844257,4.770855325313917,4.78745516762357,0.0022760464,4.771281579492027,4.78702883489466,0.13056564,0.1432038,0.12870286,0.05737314,0.06014981,0.00017484963,0.117697805,4.771290889297467,4.787028990631993,0.0015916866,4.771142402164562,4.787168020250912,0.13678576,0.1288983,0.13288839,0.058472652,0.054952793,0.00016676384,0.113592215,4.771152306121952,4.7871681778787485,0.002216354,4.77138211603399,4.786928281570284,0.2096025,0.20985435,0.20647255,0.092201725,0.088645026,0.0002720229,0.18111877,4.771384576607853,4.786928519028392,0.002321145,4.771408755300618,4.786901641004596,0.20493296,0.21125498,0.21759574,0.09131114,0.09067987,0.000258748,0.18224975,4.771429244603735,4.786901873868491,0.0026840358,4.771637456130469,4.786672911517459,0.30022782,0.29085237,0.29778767,0.12935892,0.12644006,0.0003697324,0.25616872,4.771644132869302,4.786673245526023,2.5735524e-05,4.77131815741732,4.786992251583642,4.771327487415915,4.786992415510688,1.0019027363788098,451.21045,0.124542065,0.00018343116,0.14035842,0.14991279,0.13825059,5
23,4.767882267492001,4.797457992382181,0.02135416679084301,0.005671296268701553,4.785627702252538,0.008186721,0.009274109,0.006990579,2.1987171e-15,2.1987171e-15,2.1987171e-15,6.5961513e-15,4.76838736753391,4.78789235481223,0.00079210143,4.767923184792617,4.7874508174493355,0.009783723,0.0066459943,0.009561155,0.004100202,0.002742726,8.847802e-06,0.006851776,4.767923210210339,4.787450825912654,0.002508342,4.7684005883719855,4.786973348688407,0.13047731,0.14371252,0.12870635,0.05736108,0.060580038,0.00017729025,0.118118405,4.768410740942763,4.786973510378314,0.0018396557,4.7682624019972515,4.7871115431529,0.13653001,0.12868133,0.13287298,0.05842462,0.05503642,0.00016647067,0.11362751,4.7682730909717455,4.78711170496165,0.0025284337,4.76853535370105,4.78683855775057,0.20932981,0.20940548,0.2065216,0.09223698,0.08852588,0.0002719586,0.18103482,4.7685383769077685,4.786838802397746,0.002608785,4.768556109939713,4.786817800402202,0.20542796,0.21160936,0.21753448,0.09158656,0.09097922,0.00026031115,0.18282609,4.768578132524291,4.786818040933999,0.0030041263,4.768813418354347,4.7865604544894955,0.3002645,0.2906712,0.29781288,0.12919307,0.12650026,0.00037108903,0.25606441,4.768820595914965,4.786560799390071,3.252705e-05,4.768441505896158,4.7869324233701285,4.768451683713683,4.78693259353556,1.0021987773257628,451.77252,0.12497018,0.00018613804,0.14026104,0.15035851,0.1382675,6
378,4.7649854727072976,4.798828450416661,0.0234375,0.004976851865649223,4.785291259487812,0.00828592,0.009323193,0.0069735562,1.6463316e-15,1.6463316e-15,1.6463316e-15,4.938995e-15,4.765630327529646,4.78790936196095,0.0008551116,4.7650305154778625,4.787446689226638,0.009765431,0.0065947957,0.009576041,0.0041063195,0.0027411513,9.030405e-06,0.0068565016,4.765030556445598,4.787446697963726,0.0027195201,4.765558518813603,4.786918602991313,0.13040105,0.1441589,0.12870872,0.05738348,0.060990095,0.00017959817,0.11855317,4.765569539194915,4.786918771829473,0.0020633251,4.765420237213804,4.78705689444888,0.13629703,0.12851487,0.13286129,0.058400836,0.055151828,0.00016606502,0.113718726,4.765431673841637,4.787057061056225,0.0028097918,4.765725553931786,4.7867515347752665,0.20909867,0.2089565,0.20656976,0.09231349,0.08842858,0.00027205067,0.18101412,4.765729063636109,4.78675178781362,0.0028590695,4.765738535486969,4.78673855328281,0.20585953,0.2119724,0.2174768,0.091859885,0.09128848,0.00026164643,0.18341,4.765761959610186,4.786738802701355,0.0032934477,4.766026442485539,4.786450596360699,0.3002923,0.29047933,0.2978339,0.12907334,0.12656645,0.0003727189,0.2560125,4.766034146281636,4.786450954526317,3.930032e-05,4.765603561632868,4.786873549414867,4.765614623177393,4.786873726991779,1.0024973968620632,452.6104,0.12540968,0.00018862858,0.14016648,0.15075369,0.13828476,7
507,4.762118676640736,4.800220059693972,0.02569444477558136,0.004398148041218519,4.784979506432776,0.008393751,0.009376685,0.006954019,1.7665566e-15,1.7665566e-15,1.7665566e-15,5.2996696e-15,4.76290225616581,4.787930866489777,0.0009066492,4.7621675312272655,4.787442875072298,0.009740204,0.00655455,0.009592352,0.0041109156,0.0027400728,9.170307e-06,0.006860159,4.762167548349737,4.787442884114514,0.0029162478,4.76274729635111,4.786863005529502,0.13032295,0.14456049,0.12871002,0.057431277,0.06138034,0.00018156304,0.118993185,4.762759016711767,4.7868631824379575,0.0022553112,4.762604814641209,4.787005499960685,0.136075,0.12841919,0.13285384,0.058396794,0.05529273,0.00016540379,0.11385493,4.76261686352146,4.7870056720683145,0.0030580857,4.762942664712197,4.786667593689105,0.20893347,0.2085043,0.20661744,0.09244086,0.08834629,0.00027201045,0.18105915,4.762946651898971,4.786667856472955,0.0030672587,4.762945140040471,4.7866651215747185,0.20624426,0.21230279,0.21742137,0.092144735,0.09159537,0.0002621191,0.18400224,4.76296972516096,4.786665380069047,0.0035537237,4.7632677247028345,4.786342474845785,0.3002904,0.29028198,0.297851,0.12899849,0.12663847,0.0003741666,0.25601113,4.7632758966871815,4.786342848216554,4.580186e-05,4.762796151058958,4.786814137840794,4.762807889385835,4.786814323766697,1.0028005548200847,453.71985,0.12585334,0.00019073335,0.14006315,0.15111503,0.13830237,8
723,4.759270576819115,4.801631132255652,0.02777777798473835,0.004282407462596893,4.784686909989167,0.008514148,0.009440329,0.006931967,2.3904248e-15,2.3904248e-15,2.3904248e-15,7.171274e-15,4.7601925079016345,4.7879570119269195,0.0009513201,4.75932316371183,4.787439139374115,0.009712028,0.0065230737,0.009610032,0.0041146013,0.0027378185,9.354464e-06,0.0068617747,4.759323190507678,4.787439148859778,0.0030914382,4.759954204434884,4.786807972967508,0.13025527,0.14492011,0.12870955,0.05750922,0.061746318,0.00018338455,0.119438924,4.759966516090391,4.786808158915392,0.0024179486,4.759805258883609,4.7869569341440705,0.13584447,0.12839653,0.13285092,0.05840542,0.055458784,0.00016463015,0.114028834,4.759817809175836,4.786957112533114,0.0032809642,4.76017749538331,4.786584627945031,0.20884006,0.20806208,0.20666471,0.09261977,0.088278875,0.00027181295,0.18117045,4.760181869648432,4.786584901858387,0.0032485083,4.760168527843955,4.786593601146722,0.20661052,0.21255891,0.21736701,0.09244167,0.09188176,0.00026200476,0.18458544,4.760194104396024,4.786593869622488,0.0037863795,4.760526530002301,4.786235520561882,0.30022353,0.29009908,0.29786584,0.12896058,0.12672326,0.0003751572,0.256059,4.760535218993899,4.78623591075326,5.1962677e-05,4.760006791520488,4.786755369585257,4.760019129858741,4.786755565018167,1.0031076513173551,455.09604,0.1263007,0.00019273901,0.13996729,0.15144318,0.13831958,9
