,train_loss,test_loss,train_acc,test_acc,all_loss,percent_x_embed_trivial_rep,percent_y_embed_trivial_rep,percent_unembed_trivial_rep,percent_hidden_x_trivial_rep,percent_hidden_y_trivial_rep,percent_hidden_xy_trivial_rep,total_percent_hidden_trivial_rep,hidden_excluded_loss_trivial_rep,hidden_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,percent_x_embed_sign_rep,percent_y_embed_sign_rep,percent_unembed_sign_rep,percent_hidden_x_sign_rep,percent_hidden_y_sign_rep,percent_hidden_xy_sign_rep,total_percent_hidden_sign_rep,hidden_excluded_loss_sign_rep,hidden_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,percent_x_embed_standard_rep,percent_y_embed_standard_rep,percent_unembed_standard_rep,percent_hidden_x_standard_rep,percent_hidden_y_standard_rep,percent_hidden_xy_standard_rep,total_percent_hidden_standard_rep,hidden_excluded_loss_standard_rep,hidden_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,percent_x_embed_standard_sign_rep,percent_y_embed_standard_sign_rep,percent_unembed_standard_sign_rep,percent_hidden_x_standard_sign_rep,percent_hidden_y_standard_sign_rep,percent_hidden_xy_standard_sign_rep,total_percent_hidden_standard_sign_rep,hidden_excluded_loss_standard_sign_rep,hidden_restricted_loss_standard_sign_rep,logit_s5_5d_a_rep_trace_similarity,logit_excluded_loss_s5_5d_a_rep,logit_restricted_loss_s5_5d_a_rep,percent_x_embed_s5_5d_a_rep,percent_y_embed_s5_5d_a_rep,percent_unembed_s5_5d_a_rep,percent_hidden_x_s5_5d_a_rep,percent_hidden_y_s5_5d_a_rep,percent_hidden_xy_s5_5d_a_rep,total_percent_hidden_s5_5d_a_rep,hidden_excluded_loss_s5_5d_a_rep,hidden_restricted_loss_s5_5d_a_rep,logit_s5_5d_b_rep_trace_similarity,logit_excluded_loss_s5_5d_b_rep,logit_restricted_loss_s5_5d_b_rep,percent_x_embed_s5_5d_b_rep,percent_y_embed_s5_5d_b_rep,percent_unembed_s5_5d_b_rep,percent_hidden_x_s5_5d_b_rep,percent_hidden_y_s5_5d_b_rep,percent_hidden_xy_s5_5d_b_rep,total_percent_hidden_s5_5d_b_rep,hidden_excluded_loss_s5_5d_b_rep,hidden_restricted_loss_s5_5d_b_rep,logit_s5_6d_rep_trace_similarity,logit_excluded_loss_s5_6d_rep,logit_restricted_loss_s5_6d_rep,percent_x_embed_s5_6d_rep,percent_y_embed_s5_6d_rep,percent_unembed_s5_6d_rep,percent_hidden_x_s5_6d_rep,percent_hidden_y_s5_6d_rep,percent_hidden_xy_s5_6d_rep,total_percent_hidden_s5_6d_rep,hidden_excluded_loss_s5_6d_rep,hidden_restricted_loss_s5_6d_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,total_hidden_excluded_loss,total_hidden_restricted_loss,test_loss_restricted_loss_ratio,sum_of_squared_weights,percent_hidden_explained,percent_hidden_xy_explained,percent_x_embed_explained,percent_y_embed_explained,percent_unembed_explained,epoch
330,4.784872067376898,4.790038545604469,0.010416666977107525,0.0062500000931322575,4.787971954295444,0.007327933,0.007561632,0.0067370962,2.2864674e-15,2.2864674e-15,2.2864674e-15,6.8594024e-15,4.784488900960051,4.7878484339936955,0.00030045753,4.784885532095632,4.787478277118799,0.006391615,0.00766941,0.008373872,0.002890248,0.0035210294,8.670277e-06,0.006419948,4.784886204592175,4.78747828190504,0.00044421048,4.78495169746579,4.787412109370361,0.1457524,0.13349302,0.13183424,0.05921702,0.056850392,0.00017245824,0.11623987,4.784954738058349,4.787412226625564,0.00035253703,4.78493526462114,4.7874285436043325,0.13917366,0.1333954,0.13516945,0.060746282,0.058172397,0.0001704514,0.119089134,4.784936119903092,4.787428659293785,0.0006285836,4.785012921386105,4.787350885470679,0.20275165,0.21188429,0.20423584,0.0875126,0.091811925,0.0002563857,0.17958091,4.785016487556887,4.787351050909264,0.0002190781,4.784921157840852,4.7874426501725145,0.20418365,0.20276162,0.2111422,0.08768861,0.089584194,0.00025462767,0.17752743,4.784912525679825,4.787442812759991,0.00065937557,4.785049371938496,4.787314433850513,0.2944191,0.30323464,0.30250734,0.12511842,0.12972586,0.00036797518,0.25521225,4.7850565487186065,4.787314665510245,1.2897688e-06,4.78496516329848,4.787398643708093,4.784968875319099,4.787398765758399,1.0005514017058597,487.682,0.12265982,0.00018112852,0.15214401,0.14116243,0.14020811,0
27,4.7807680222723015,4.7916952997136395,0.01163194514811039,0.00555555522441864,4.787324388496882,0.007294011,0.007660007,0.006738612,3.1290195e-15,3.1290195e-15,3.1290195e-15,9.387059e-15,4.780550288426965,4.787837558683864,0.000411413,4.780786365527412,4.787473397087049,0.006480647,0.007738396,0.008382923,0.002940361,0.0035525477,8.859917e-06,0.0065017687,4.7807871418575045,4.787473402056651,0.00094279216,4.780936176527404,4.787323578473786,0.14564218,0.13317528,0.13184729,0.05921507,0.056862585,0.00017342201,0.116251074,4.780939803204,4.787323695874596,0.00082736276,4.78091558953708,4.78734416732437,0.13890228,0.13284963,0.13519754,0.060459603,0.05802752,0.0001694344,0.11865655,4.7809172186926086,4.787344282061283,0.0012110947,4.7810380337483505,4.787221716573086,0.20225607,0.21232387,0.20419514,0.08704621,0.09209063,0.00025928332,0.17939612,4.781041940310014,4.787221884007014,0.0008406432,4.7809554404729795,4.787304312298949,0.20433998,0.20234126,0.2111562,0.08759552,0.08952937,0.00025430694,0.17737919,4.7809479400684385,4.787304475638775,0.0013815353,4.781137635770334,4.787122109385535,0.29508486,0.30391154,0.30248225,0.12519825,0.13012856,0.0003719298,0.25569874,4.781145165726531,4.787122343141143,5.824718e-06,4.780954519794133,4.787305232780745,4.780958923492072,4.787305355124029,1.0009169969876504,486.911,0.122752845,0.00018228193,0.15212283,0.14091368,0.14023021,1
344,4.776825563088076,4.793342327594444,0.015625,0.005092592444270849,4.786735621831505,0.0072410195,0.0077278223,0.0067348676,2.559109e-15,2.559109e-15,2.559109e-15,7.677327e-15,4.776765812552954,4.787832639868854,0.0005010306,4.776847949184529,4.787469353905203,0.0065603033,0.007815759,0.008394459,0.0029891734,0.003584171,9.045572e-06,0.00658239,4.776848768659562,4.787469359113929,0.0013970714,4.777075258740294,4.787242025774638,0.14554691,0.13287945,0.13186023,0.059300706,0.056888085,0.00017495119,0.11636375,4.7770794342854,4.78724214535996,0.0012689845,4.777052368685449,4.787264920267468,0.13875087,0.13228855,0.13521385,0.06026174,0.05787693,0.00016874018,0.11830741,4.777054836751943,4.787265035300015,0.001744627,4.777215332656052,4.787101942503683,0.2017623,0.21283364,0.20416364,0.08661902,0.092417136,0.00026225633,0.17929842,4.777219744180222,4.787102113715288,0.0014062523,4.777139731654101,4.7871775447794205,0.2045098,0.20188823,0.21117528,0.08753461,0.089464396,0.00025452103,0.17725353,4.777133415998235,4.787177710491919,0.002056211,4.77737681980188,4.786940442106919,0.2956288,0.30456656,0.30245763,0.12532143,0.13053928,0.00037593098,0.25623664,4.7773846866552745,4.7869406806714165,1.3062434e-05,4.777097644757019,4.7872196368849576,4.777102639884368,4.787219761689278,1.001278939804302,486.58762,0.122946136,0.00018399676,0.15210721,0.14069521,0.14025469,2
314,4.773022297017044,4.7949795196423635,0.0182291679084301,0.0038194444496184587,4.786196630630351,0.00716782,0.0077482075,0.0067255176,2.2260015e-15,2.2260015e-15,2.2260015e-15,6.6780044e-15,4.773114737192159,4.787833401280756,0.0005688155,4.773047940422186,4.787466095345808,0.006620474,0.007889855,0.008407109,0.0030295183,0.0036148988,9.1701695e-06,0.0066535873,4.773048737239174,4.787466100749946,0.0018038896,4.773347605056001,4.787166398123708,0.14542979,0.13255996,0.13187256,0.05943515,0.056897942,0.00017653286,0.11650963,4.773352415166504,4.787166521252279,0.0016751356,4.773324388906307,4.787189619643693,0.13871193,0.13174869,0.13522513,0.060136706,0.057758417,0.00016832074,0.11806345,4.77332776438467,4.787189735975971,0.0022230311,4.773523417326779,4.786990567912802,0.20125194,0.21334282,0.20413119,0.08623253,0.09277378,0.00026521407,0.17927152,4.773528206177492,4.786990744278489,0.001922192,4.773455596839585,4.787058390473439,0.2047305,0.20145948,0.21120596,0.08754493,0.08940746,0.00025477287,0.17720717,4.773450359991647,4.787058559852186,0.002675337,4.773745992732719,4.786767967887962,0.29608753,0.30525094,0.30243254,0.12549084,0.13098188,0.00037994777,0.25685266,4.773754376992712,4.786768213834107,2.2177766e-05,4.773373249033863,4.787140750673039,4.7733788554356735,4.787140879215644,1.0016374367549432,486.70642,0.123163216,0.00018570303,0.15205026,0.1404498,0.14027968,3
391,4.769314290208581,4.7966234512883394,0.02013888955116272,0.003703703638166189,4.785699786599554,0.0070744217,0.007733002,0.006710596,3.1729973e-15,3.1729973e-15,3.1729973e-15,9.518992e-15,4.76955495255305,4.787839668867054,0.00061451574,4.769342422165077,4.78746360482885,0.0066753724,0.007948106,0.008421136,0.0030669994,0.0036380668,9.336019e-06,0.006714402,4.7693431443016205,4.7874636104806125,0.002169753,4.769711636634055,4.787094340384236,0.14532785,0.13221389,0.13188523,0.05963278,0.05690285,0.00017802975,0.11671366,4.7697168829642065,4.78709446806972,0.0020493995,4.7696895996164,4.787116383529483,0.1386768,0.13128486,0.13523439,0.060047098,0.057689846,0.00016829706,0.11790524,4.769693817869992,4.787116502616664,0.002644211,4.76991958561492,4.786886365060002,0.2007458,0.21384603,0.20409533,0.08588943,0.09315691,0.00026786895,0.1793142,4.769924813110792,4.786886548196788,0.0023679796,4.7698563451475575,4.786949606057369,0.20496759,0.20102438,0.2112481,0.08759785,0.08936647,0.00025463884,0.17721896,4.769852083225245,4.786949780143254,0.0032457204,4.770205874440089,4.786600034930206,0.29653215,0.3059497,0.3024053,0.1257261,0.13145632,0.00038423293,0.25756666,4.770215050949232,4.7866002903530545,3.2419375e-05,4.769739770157388,4.787066202439241,4.769745738034619,4.787066335768737,1.0019964451815075,487.253,0.12342806,0.00018736576,0.15200323,0.14016199,0.14030637,4
153,4.765682735704014,4.798278959496193,0.02465277910232544,0.0032407406251877546,4.785240469963453,0.006986466,0.0077086412,0.006690557,2.6386042e-15,2.6386042e-15,2.6386042e-15,7.915813e-15,4.766069475658815,4.787851342273229,0.00065868034,4.765713535396554,4.787460936517341,0.006723082,0.007990377,0.008436752,0.0031002597,0.0036538108,9.464087e-06,0.0067635346,4.765714215888049,4.787460942362432,0.002493084,4.7661490628168846,4.78702533945152,0.14524391,0.131881,0.13189963,0.059884712,0.05692191,0.00017936528,0.11698599,4.766154628655377,4.787025472909608,0.002382595,4.766128399101133,4.787046009333763,0.13864718,0.13084483,0.13524151,0.059984736,0.05765189,0.00016852045,0.11780514,4.766133397310813,4.7870461330749805,0.0030124588,4.766387081398237,4.78678728325741,0.20025891,0.21429744,0.2040589,0.085594825,0.09354033,0.00026992965,0.1794051,4.766392876749121,4.786787474061096,0.0027559684,4.766327102479689,4.786847262421992,0.20520675,0.20061558,0.21129534,0.08768986,0.08935657,0.0002540722,0.1773005,4.766323661828912,4.786847442287173,0.0037524586,4.766735569751189,4.786438734332741,0.29693362,0.3066621,0.30237728,0.12601389,0.13198091,0.0003880336,0.25838283,4.766745687697831,4.786439001331508,4.3077303e-05,4.766179861597915,4.7869945331723835,4.766186108540442,4.786994672468776,1.0023572800471905,488.2133,0.123749524,0.00018882936,0.15196699,0.13987137,0.14033638,5
23,4.7621034325788045,4.799950568451326,0.02725694514811039,0.0031250000465661287,4.784811714055274,0.0069139022,0.007678922,0.006665783,3.0282374e-15,3.0282374e-15,3.0282374e-15,9.084712e-15,4.7626354309681,4.787868431113741,0.00070467277,4.762137258435102,4.787457907703207,0.0067648483,0.008026681,0.008454115,0.0031278892,0.0036663152,9.464166e-06,0.0068036686,4.762137979515547,4.787457913691529,0.0027795783,4.762637179130287,4.786957893432888,0.14518262,0.1315707,0.13191694,0.060182936,0.05695812,0.0001808844,0.11732194,4.762642967440171,4.786958033813386,0.002671475,4.7626164272790685,4.786978655542253,0.13861868,0.13043487,0.13524461,0.059946444,0.057630625,0.00016871246,0.11774578,4.762621985097724,4.78697878506528,0.003322889,4.762901031011226,4.786693994314689,0.19978106,0.21463373,0.20402375,0.08533562,0.09388513,0.00027110227,0.17949185,4.762907556223559,4.786694193555489,0.0031008483,4.762847722383418,4.786747300409734,0.20542112,0.20027974,0.21134293,0.08781137,0.08938298,0.00025345312,0.17744781,4.762844955548773,4.786747487768651,0.0041992553,4.763312970946053,4.786281971361905,0.2973179,0.30737543,0.3023519,0.12636927,0.13254493,0.00039171026,0.25930592,4.763323983016699,4.786282252802712,5.3649997e-05,4.7626710064159345,4.786924058357231,4.762677514707547,4.786924204735681,1.0027212387659612,489.57767,0.12412561,0.00019034857,0.15194747,0.13959737,0.14037105,6
378,4.758557709882804,4.801650420799684,0.02951388992369175,0.0028935184236615896,4.784413336595019,0.006876156,0.007670273,0.0066364584,2.4230887e-15,2.4230887e-15,2.4230887e-15,7.269266e-15,4.759235266926515,4.787891141801408,0.0007543911,4.758595051132209,4.787454390103,0.006800478,0.008056868,0.008473116,0.003150038,0.0036763719,9.462273e-06,0.0068358723,4.758595860370568,4.787454396307207,0.0030349686,4.759158669163499,4.786890652989328,0.14513753,0.13129106,0.13193727,0.06051829,0.057015523,0.00018232653,0.11771614,4.759164614196732,4.786890801534569,0.002909773,4.759133884976387,4.786915448132512,0.1386002,0.13002369,0.13524279,0.059939127,0.05760917,0.00016895014,0.11771725,4.759139874874168,4.78691558458503,0.003592413,4.759446887358339,4.786602374123799,0.19931282,0.21489298,0.20399003,0.085124865,0.09420416,0.00027159907,0.17960063,4.759454350133046,4.786602583186848,0.0033963826,4.759398352302158,4.78665090430399,0.20561,0.19999093,0.2113883,0.08796855,0.08944314,0.00025277334,0.17766446,4.759396222336965,4.7866511002418966,0.004575448,4.759916694565046,4.7861324593772085,0.2976628,0.30807424,0.302332,0.12677415,0.13313556,0.00039434942,0.26030403,4.759928404972225,4.7861327568823295,6.3622494e-05,4.759196011475383,4.786853300318104,4.759202764723168,4.786853455055433,1.0030911674826026,491.3379,0.12455201,0.0001917888,0.151938,0.13934793,0.14041038,7
507,4.75502208193817,4.8033824583671825,0.03177083283662796,0.0028935184236615896,4.784038307700101,0.0068893014,0.007685167,0.0066027786,1.9059982e-15,1.9059982e-15,1.9059982e-15,5.7179946e-15,4.7558461379822425,4.7879197601331285,0.0007989075,4.755063013619402,4.787450797364876,0.006830346,0.008080566,0.008493664,0.003168229,0.0036815782,9.416842e-06,0.0068592243,4.75506393137917,4.7874508037933,0.0032597394,4.755690187800626,4.786823473478258,0.1451059,0.13106093,0.13195956,0.060880072,0.057097804,0.00018355678,0.11816143,4.755696454425247,4.786823631384166,0.00310366,4.75565820626122,4.786855470262972,0.13857403,0.12959635,0.13523462,0.05994973,0.057584237,0.0001687943,0.11770276,4.755664662644525,4.786855614718485,0.003822038,4.756001276849395,4.786512311088868,0.19885641,0.21509713,0.20395787,0.084972866,0.094493136,0.00027165932,0.17973767,4.756009684363135,4.786512531013533,0.0036542371,4.755958268006404,4.786555310699853,0.20577615,0.19975692,0.21143074,0.088143304,0.089538306,0.00025208012,0.1779337,4.755956575692294,4.786555516825048,0.004895832,4.756527228799114,4.785986223337499,0.2979678,0.3087229,0.30232078,0.12721683,0.13374329,0.00039602074,0.26135612,4.756539422021818,4.78598653860505,7.282745e-05,4.755731119519529,4.786782528077492,4.7557383035781555,4.7867826923879,1.0034678336256375,493.48407,0.12502065,0.00019297362,0.15193625,0.1391415,0.14045322,8
723,4.751477872128244,4.805153180550857,0.0338541679084301,0.0025462962221354246,4.783683057262857,0.0069669653,0.007737888,0.0065648705,2.884438e-15,2.884438e-15,2.884438e-15,8.653314e-15,4.7524498979484955,4.787954636600812,0.0008439979,4.751522771983539,4.787446826568713,0.00685425,0.008097365,0.008515574,0.0031820836,0.003683595,9.405154e-06,0.0068750833,4.751523804645824,4.787446833338645,0.0034522277,4.752212560906669,4.786756855054368,0.14509045,0.13087481,0.13198255,0.061245084,0.057197895,0.00018434427,0.118627325,4.7522193699938775,4.786757023341892,0.003274147,4.752174671162514,4.786794762958814,0.13854378,0.12914668,0.13521935,0.05998109,0.057552293,0.0001684939,0.11770188,4.752181648566881,4.786794916616783,0.0040150527,4.752545959779315,4.786423368304913,0.19838202,0.2152404,0.20392749,0.08485826,0.09476893,0.00027092878,0.17989811,4.752555407278055,4.786423600193577,0.0038710071,4.752507618791821,4.786461696906183,0.2058919,0.1995572,0.21147053,0.0883228,0.08965424,0.0002514979,0.17822854,4.752506532904797,4.786461914899707,0.005166412,4.753127105034085,4.785842054637029,0.29827067,0.30934566,0.30231965,0.127706,0.13436748,0.00039719848,0.2624707,4.7531397968150095,4.785842390037722,8.11474e-05,4.752257461602248,4.786711938841034,4.752265301909505,4.786712113854692,1.0038525539571908,496.00787,0.12550241,0.00019374942,0.1519447,0.13897218,0.14049813,9
