,train_loss,test_loss,train_acc,test_acc,all_loss,logit_trivial_rep_trace_similarity,logit_excluded_loss_trivial_rep,logit_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,logit_freq_1_rep_trace_similarity,logit_excluded_loss_freq_1_rep,logit_restricted_loss_freq_1_rep,logit_freq_2_rep_trace_similarity,logit_excluded_loss_freq_2_rep,logit_restricted_loss_freq_2_rep,logit_freq_3_rep_trace_similarity,logit_excluded_loss_freq_3_rep,logit_restricted_loss_freq_3_rep,logit_freq_4_rep_trace_similarity,logit_excluded_loss_freq_4_rep,logit_restricted_loss_freq_4_rep,logit_freq_5_rep_trace_similarity,logit_excluded_loss_freq_5_rep,logit_restricted_loss_freq_5_rep,logit_freq_6_rep_trace_similarity,logit_excluded_loss_freq_6_rep,logit_restricted_loss_freq_6_rep,logit_freq_7_rep_trace_similarity,logit_excluded_loss_freq_7_rep,logit_restricted_loss_freq_7_rep,logit_freq_8_rep_trace_similarity,logit_excluded_loss_freq_8_rep,logit_restricted_loss_freq_8_rep,logit_freq_9_rep_trace_similarity,logit_excluded_loss_freq_9_rep,logit_restricted_loss_freq_9_rep,logit_freq_10_rep_trace_similarity,logit_excluded_loss_freq_10_rep,logit_restricted_loss_freq_10_rep,logit_freq_11_rep_trace_similarity,logit_excluded_loss_freq_11_rep,logit_restricted_loss_freq_11_rep,logit_freq_12_rep_trace_similarity,logit_excluded_loss_freq_12_rep,logit_restricted_loss_freq_12_rep,logit_freq_13_rep_trace_similarity,logit_excluded_loss_freq_13_rep,logit_restricted_loss_freq_13_rep,logit_freq_14_rep_trace_similarity,logit_excluded_loss_freq_14_rep,logit_restricted_loss_freq_14_rep,logit_freq_15_rep_trace_similarity,logit_excluded_loss_freq_15_rep,logit_restricted_loss_freq_15_rep,logit_freq_16_rep_trace_similarity,logit_excluded_loss_freq_16_rep,logit_restricted_loss_freq_16_rep,logit_freq_17_rep_trace_similarity,logit_excluded_loss_freq_17_rep,logit_restricted_loss_freq_17_rep,logit_freq_18_rep_trace_similarity,logit_excluded_loss_freq_18_rep,logit_restricted_loss_freq_18_rep,logit_freq_19_rep_trace_similarity,logit_excluded_loss_freq_19_rep,logit_restricted_loss_freq_19_rep,logit_freq_20_rep_trace_similarity,logit_excluded_loss_freq_20_rep,logit_restricted_loss_freq_20_rep,logit_freq_21_rep_trace_similarity,logit_excluded_loss_freq_21_rep,logit_restricted_loss_freq_21_rep,logit_freq_22_rep_trace_similarity,logit_excluded_loss_freq_22_rep,logit_restricted_loss_freq_22_rep,logit_freq_23_rep_trace_similarity,logit_excluded_loss_freq_23_rep,logit_restricted_loss_freq_23_rep,logit_freq_24_rep_trace_similarity,logit_excluded_loss_freq_24_rep,logit_restricted_loss_freq_24_rep,logit_freq_25_rep_trace_similarity,logit_excluded_loss_freq_25_rep,logit_restricted_loss_freq_25_rep,logit_freq_26_rep_trace_similarity,logit_excluded_loss_freq_26_rep,logit_restricted_loss_freq_26_rep,logit_freq_27_rep_trace_similarity,logit_excluded_loss_freq_27_rep,logit_restricted_loss_freq_27_rep,logit_freq_28_rep_trace_similarity,logit_excluded_loss_freq_28_rep,logit_restricted_loss_freq_28_rep,logit_freq_29_rep_trace_similarity,logit_excluded_loss_freq_29_rep,logit_restricted_loss_freq_29_rep,logit_freq_30_rep_trace_similarity,logit_excluded_loss_freq_30_rep,logit_restricted_loss_freq_30_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,epoch
318,4.803204107667803,4.81007680359707,0.01142217218875885,0.008254150860011578,4.808015087266828,-7.4096533e-09,4.803204107594169,4.804021044733257,-6.859773e-08,4.803204101742374,4.804021050927121,6.4129636e-05,4.803215686088814,4.804009463890247,2.1017564e-05,4.803207902656534,4.804017249274978,-7.1177783e-07,4.803203978394926,4.8040211732697715,1.3835495e-05,4.803206606065132,4.804018546248876,-1.392953e-05,4.803201591365255,4.804023560200397,1.4415586e-05,4.8032067106704135,4.804018441493339,7.0141177e-06,4.803205374182292,4.804019778087922,3.0801893e-06,4.8032046638349595,4.804020488496795,-3.0795345e-06,4.8032035513965186,4.804021600851504,6.797949e-06,4.80320533529619,4.804019817124786,-3.4638051e-06,4.803203481810985,4.804021670245106,-3.2120708e-05,4.803198306537864,4.80402684526047,3.1196265e-05,4.803209740317659,4.804015411154709,4.958795e-05,4.803213062465309,4.804012089895758,-9.494858e-06,4.803202393709162,4.804022759364193,-1.5617479e-07,4.80320407827713,4.804021072936105,-3.3159584e-05,4.803198118985735,4.804027032866292,3.455587e-05,4.8032103492877765,4.804014804460798,2.2061198e-05,4.803208091145529,4.804017060810567,2.6482016e-05,4.803208890264117,4.804016262477013,6.910959e-07,4.803204232515272,4.8040209199316015,1.2689095e-05,4.8032064006493425,4.804018753271791,3.760549e-05,4.803210897610524,4.804014253745829,-6.4018604e-06,4.8032029511873775,4.80402220081442,2.6143833e-05,4.803208829797744,4.804016323547692,9.8661e-06,4.803205889698371,4.804019263062294,2.1218457e-05,4.8032079386964,4.804017212996635,1.3496581e-05,4.80320654536514,4.804018607451689,1.1383458e-05,4.803206163739911,4.804018989050213,-3.5668054e-06,4.803203465041632,4.804021688845411,1.6482423e-08,4.803219091902722,4.804006059812802,0
27,4.798227716460924,4.811628712501585,0.01119820773601532,0.007198387756943703,4.80760859394987,-8.6211e-09,4.798227716456834,4.804021044733257,2.5587215e-06,4.798227935533601,4.804020825257345,6.271884e-05,4.798238473566416,4.80401028525172,2.9164847e-05,4.7982327207979365,4.804016041470533,9.108728e-06,4.7982292794728485,4.804019482119803,1.0525728e-05,4.798229521069408,4.804019239031869,1.6737453e-05,4.798230587625483,4.804018173403125,3.6669808e-06,4.798228344276427,4.8040204156581625,-1.16236515e-05,4.798225721381182,4.8040230387858776,1.17405e-05,4.798229729621012,4.804019030636382,-8.402334e-06,4.798226275541953,4.804022486164492,1.0473235e-05,4.798229513464143,4.804019248037,2.3666333e-05,4.798231775559714,4.804016984746438,-1.6715434e-05,4.7982248492868,4.804023912288081,3.261074e-05,4.798233309963489,4.804015450323402,6.526237e-05,4.798238911012893,4.804009848907384,-3.9722763e-06,4.798227035502716,4.804021726182336,1.540035e-05,4.798230358312159,4.804018402784818,-1.6506849e-05,4.798224885264666,4.804023876504893,2.701385e-05,4.798232350602565,4.804016410476185,6.803719e-06,4.7982288835075435,4.804019877546817,5.9078237e-05,4.798237848718802,4.804010909800081,1.7828901e-05,4.798230775376526,4.804017986164226,1.6019949e-06,4.798227990927166,4.804020769909035,3.2445445e-05,4.798233282727307,4.80401547868049,-2.459812e-06,4.798227294480947,4.804021466717134,2.3414525e-05,4.798231733205336,4.8040170279442025,1.5695769e-05,4.798230408614078,4.804018352105301,2.236e-05,4.798231551996861,4.80401720884889,1.2833916e-05,4.798229919536389,4.804018843059566,1.25033985e-05,4.798229861808048,4.804018899760159,6.0735692e-06,4.798228758968034,4.804020002804897,1.9716909e-08,4.798242745561025,4.804006014214047,1
335,4.795025469858259,4.81449946802668,0.011870100162923336,0.00700643053278327,4.808657530708799,-8.293682e-09,4.795025469877429,4.804021044733257,3.5579142e-06,4.795025814176483,4.804020699321184,5.0251547e-05,4.795035226182681,4.804011287626876,3.378697e-05,4.795032029591366,4.8040144844737815,1.2799632e-05,4.7950279562090055,4.804018559486786,1.6139733e-05,4.795028603176535,4.804017910954766,1.5841208e-05,4.795028544705997,4.80401796891796,8.792675e-06,4.795027177534081,4.80401933749941,-8.284827e-06,4.795023860970573,4.804022653361405,6.580485e-06,4.79502674725428,4.804019767030172,-1.1745724e-06,4.795025241923186,4.804021272794729,1.977524e-05,4.795029309690903,4.804017205065384,2.9611758e-05,4.795031219712426,4.80401529515474,-3.9508905e-06,4.795024704091557,4.804021811860051,1.5292462e-05,4.795028438972101,4.804018075465399,4.616777e-05,4.795034433944344,4.804012080554368,-3.7062928e-06,4.7950247506349415,4.804021764367591,1.9811512e-05,4.795029315029201,4.804017198022725,-1.9788422e-07,4.795025430906954,4.8040210831555505,2.7730866e-05,4.795030853819778,4.804015660358629,-9.068739e-06,4.795023710126889,4.8040228055700664,5.934838e-05,4.795036989787007,4.804009521341074,1.6778999e-05,4.795028728194757,4.804017786831343,1.30588905e-05,4.795028004366418,4.804018509147647,7.098435e-06,4.795026846515489,4.804019666462144,1.0406067e-05,4.795027490813948,4.804019024234219,1.8384295e-05,4.795029040143048,4.8040174751384574,6.998369e-06,4.795026827338112,4.804019685891567,1.6872407e-05,4.795028746821303,4.804017768694904,1.35891605e-05,4.79502810769346,4.8040184061876845,4.165231e-06,4.795026278547967,4.804020235989107,8.12404e-06,4.795027047810614,4.804019467325169,1.4524322e-08,4.795040221523241,4.8040062904072585,2
299,4.792708285654484,4.817900737291758,0.010974244214594364,0.00700643053278327,4.810343340085496,-7.923973e-09,4.792708285639887,4.804021044733257,6.773538e-06,4.792709049715983,4.804020280638344,3.285185e-05,4.792715694989517,4.804013632973601,3.093564e-05,4.792715263119111,4.804014065292482,4.264817e-06,4.79270924851477,4.804020082540162,2.2496104e-05,4.792713361086367,4.804015969349058,1.484562e-05,4.792711635886337,4.804017695387188,2.330884e-05,4.792713543906057,4.804015785986966,-9.260639e-06,4.792706198078542,4.80402313404344,4.4861517e-06,4.7927092986173525,4.804020032604478,-3.110472e-07,4.792708215438678,4.804021114909185,2.6060594e-05,4.7927141655503185,4.8040151651594885,2.6056186e-05,4.792714165069189,4.804015166153576,-1.4644575e-06,4.792707956597481,4.8040213751322,1.354151e-05,4.792711340374422,4.804017989609397,3.5210076e-05,4.792716227830544,4.8040131009315825,-6.2213803e-06,4.7927068839288784,4.804022448350533,1.4993659e-05,4.792711667878182,4.804017661988069,4.030908e-06,4.792709194913222,4.804020135312842,3.5130543e-05,4.792716212341069,4.804013118874981,-5.4426055e-06,4.792707058798631,4.804022272649629,4.199435e-05,4.792717757930292,4.804011570322645,1.4405086e-05,4.792711534126485,4.804017794776694,5.3292842e-06,4.7927094882229815,4.804019842383837,2.7357455e-06,4.792708901937226,4.804020427516776,7.083516e-06,4.7927098818087845,4.804019446608709,2.2327593e-05,4.792713321755847,4.80401600736726,4.614034e-06,4.792709327233101,4.8040200037527026,1.8758914e-05,4.792712517510454,4.804016812502421,8.1936305e-06,4.792710133342545,4.804019196153645,-1.8919673e-06,4.792707858134481,4.804021471583471,1.1802054e-05,4.792710948220833,4.804018382051075,1.094177e-08,4.792727196178714,4.804002131257804,3
375,4.790771714123167,4.821140414751732,0.012541992589831352,0.00700643053278327,4.812030212708789,-7.0872375e-09,4.7907717141007655,4.804021044733257,8.331626e-06,4.790772769587886,4.804019990311243,2.0832376e-05,4.790776986667003,4.804015771786141,3.2350916e-05,4.7907799030582225,4.804012856296183,3.7894351e-06,4.790772671532885,4.804020085577079,2.6674537e-05,4.790778464671494,4.804014293060027,1.1614349e-05,4.790774653741153,4.80401810498849,3.3298733e-05,4.790780141318503,4.804012616391082,-1.06224215e-05,4.790769027756619,4.80402373340991,7.532435e-07,4.7907719055497004,4.804020854077336,2.6924245e-06,4.790772395673622,4.804020363245017,2.7437769e-05,4.7907786573104465,4.804014099875948,2.1024629e-05,4.790777035121247,4.804015723124594,1.5279511e-07,4.790771753080314,4.804021006058788,1.474376e-05,4.790775443654016,4.804017312893621,3.0541065e-05,4.790779444070686,4.80401331439229,-9.350231e-06,4.790769347478537,4.804023411401515,1.8132876e-05,4.790776302452568,4.804016455064575,-1.9019953e-06,4.790771233672449,4.804021526153498,3.7055706e-05,4.79078109214826,4.804011665453743,-1.3789613e-06,4.790771365635366,4.8040213937666705,3.4397905e-05,4.790780416262701,4.804012338177256,1.3813671e-05,4.790775210602559,4.804017548311561,-2.788347e-07,4.790771644187046,4.804021115310017,-1.4710804e-06,4.790771342502211,4.804021417083216,3.090281e-07,4.790771790779065,4.80402096651414,2.3857245e-05,4.790777750725854,4.804015006152763,-4.540194e-06,4.790770565993349,4.804022193916695,2.5094292e-05,4.7907780650275,4.804014693040597,6.309623e-06,4.790773310344301,4.804019447684303,3.0606898e-06,4.790772488848689,4.804020270032113,1.4653979e-05,4.790775422621166,4.8040173356186955,1.0639921e-08,4.7907952827613585,4.803997470507559,4
148,4.788889539460679,4.823706315049215,0.013437849469482899,0.005086860619485378,4.813261750567541,-6.8012014e-09,4.788889539474167,4.804021044733257,6.254202e-06,4.788890389861447,4.8040201953369035,1.9862273e-05,4.788894932120231,4.804015649660275,3.4540775e-05,4.788898920519032,4.804011662628882,-1.0197837e-06,4.788889262035344,4.804021321731329,2.7038248e-05,4.788896882449356,4.80401370049345,1.6956667e-05,4.788894144605667,4.804016438892869,3.7334954e-05,4.788899677963594,4.80401090366375,-4.139696e-06,4.788888416406787,4.8040221691755916,-1.5984187e-06,4.7888891053736895,4.804021478902687,4.8613438e-06,4.78889085981748,4.804019724274156,2.7765447e-05,4.788897078685025,4.804013502969317,2.0456417e-05,4.788895094897768,4.804015488276571,1.4850302e-06,4.788889943151229,4.804020641362913,9.988558e-06,4.788892251246619,4.80401833159871,2.8061302e-05,4.788897162297419,4.804013422607859,-3.7861828e-06,4.788888510727043,4.804022073152703,2.6871201e-05,4.788896837441215,4.804013745867605,1.8364899e-06,4.788890037058967,4.804020545897954,4.1346528e-05,4.788900770435617,4.80400981402652,1.1942393e-07,4.788889570336178,4.804021012294809,2.5842812e-05,4.788896555800675,4.804014025202938,1.0270174e-05,4.788892328131218,4.804018255105035,-2.1739834e-07,4.788889479926686,4.804021103783933,-6.844022e-06,4.788887679412517,4.804022903736644,-4.826423e-06,4.788888228568653,4.804022355707327,3.1274572e-05,4.788898032400911,4.804012549807127,-6.1106657e-06,4.78888788060043,4.804022704539148,2.2930893e-05,4.788895767335242,4.804014816149151,3.6266574e-06,4.788890523061003,4.804020059645005,1.8947576e-06,4.788890054857543,4.804020530070987,2.347491e-05,4.788895915636223,4.804014668381513,1.15642536e-08,4.788913281913677,4.803997297332521,5
22,4.786902316983728,4.825489208976186,0.013661813922226429,0.005374796222895384,4.813913659665334,-6.744358e-09,4.786902316940125,4.804021044733257,3.481844e-06,4.786902806225452,4.804020555146637,1.763612e-05,4.78690727486273,4.8040160850593745,3.527163e-05,4.786912234935881,4.804011125564466,-1.5307232e-06,4.786901886477685,4.804021475207352,2.3803092e-05,4.786909009086895,4.804014350770557,2.268108e-05,4.7869086937018634,4.804014666304684,3.4218e-05,4.786911938178969,4.804011421868938,1.6566228e-06,4.7869027835162115,4.804020578853435,-5.1799e-07,4.786902169170759,4.804021190403771,8.918039e-06,4.786904823280351,4.804018536779451,3.4667828e-05,4.786912064126677,4.8040112953666885,2.1185697e-05,4.786908275293803,4.804015086839821,1.2195396e-06,4.786902660645864,4.80402070177109,4.032765e-06,4.78690344949736,4.8040199106285435,2.8542476e-05,4.78691034141493,4.804013017950363,3.3392134e-06,4.7869032567325895,4.804020105670939,3.0684292e-05,4.786910942959134,4.804012415625142,3.3784927e-06,4.786903269441569,4.804020094624675,3.756606e-05,4.7869128794150235,4.804010480320526,6.9071393e-07,4.786902511947632,4.804020850488854,2.1521915e-05,4.786908364813933,4.804014992287983,1.1621889e-05,4.786905584933178,4.804017776396042,2.7154965e-07,4.786902393088907,4.804020968367343,-6.0752354e-06,4.786900608562046,4.804022753227485,-2.0823936e-06,4.786901731096738,4.804021630349545,3.1544703e-05,4.786911186942228,4.804012173658232,-5.476366e-06,4.786900777844661,4.804022584811739,1.9972555e-05,4.786907932350129,4.804015428002616,1.7020502e-06,4.7869027939578155,4.8040205660782185,-4.2753163e-07,4.786902197414927,4.804021164964833,2.6905349e-05,4.786909883624604,4.804013478347055,1.1553431e-08,4.786925863096786,4.803997491629004,6
362,4.78480743760543,4.826634505528548,0.014557670801877975,0.005566752981394529,4.81408694772088,-6.292794e-09,4.784807437562558,4.804021044733257,3.5175035e-06,4.784807939432329,4.804020544707063,2.8954193e-05,4.784815664495602,4.80401281284789,3.3977776e-05,4.784817094412335,4.804011384607907,-1.4263642e-06,4.784807032653984,4.804021450259312,2.234029e-05,4.78481378562731,4.804014693226139,2.451257e-05,4.784814406375496,4.804014075632039,3.328784e-05,4.784816897411819,4.804011580760884,2.4997717e-06,4.784808149094804,4.804020334029491,4.077847e-06,4.784808598626676,4.8040198853709715,1.0942909e-05,4.784810548246012,4.804017933583431,4.1882788e-05,4.784819343366793,4.804009137160712,2.325244e-05,4.78481404863021,4.804014433895506,-2.1234628e-06,4.78480683296398,4.804021648449744,1.0805576e-05,4.78481050764965,4.8040179726280146,3.3234246e-05,4.784816882303324,4.804011595998556,9.644937e-06,4.784810178515352,4.804018302606309,3.3121756e-05,4.784816851208442,4.804011627980855,1.1547854e-06,4.784807765398444,4.804020716419097,3.0320238e-05,4.784816054415088,4.804012424471736,7.108938e-07,4.7848076417988,4.804020842620801,1.7935308e-05,4.7848125321748025,4.804015945593541,1.2953711e-05,4.78481112002873,4.804017361897609,1.0695658e-09,4.78480743757031,4.804021044429171,2.7004717e-07,4.784807514520545,4.804020967956821,4.6905916e-06,4.7848087695252115,4.804019711163114,3.1711388e-05,4.784816452881353,4.804012028957915,-1.7034145e-06,4.784806952266666,4.804021529026819,2.1627166e-05,4.7848135856790135,4.804014895972643,9.034993e-07,4.7848076935850266,4.804020787861636,1.5740916e-06,4.784807884583267,4.804020597207235,3.2808464e-05,4.784816763317692,4.804011717051068,1.3057248e-08,4.784834846073965,4.803993630015123,7
466,4.782633246092576,4.827425426525027,0.013661813922226429,0.005182838998734951,4.813988374307305,-5.952188e-09,4.78263324600613,4.804021044733257,3.4864352e-06,4.7826337401574825,4.8040205503618445,3.6761965e-05,4.782643668939294,4.804010619158176,3.61227e-05,4.782643486310445,4.804010800450936,1.7828643e-06,4.782633752340514,4.804020539118014,2.239149e-05,4.782639593699636,4.804014694575373,2.5235291e-05,4.782640400578885,4.804013888082751,3.5383375e-05,4.78264327566761,4.804011010121657,2.50401e-06,4.782633957409371,4.804020334603268,1.8803257e-06,4.782633781088974,4.804020511478247,8.616233e-06,4.782635689081942,4.80401860119482,4.5208944e-05,4.782646063012667,4.804008223625217,2.5260928e-05,4.782640409092483,4.804013880812256,-3.8673224e-06,4.782632147924651,4.8040221414951105,2.2520086e-05,4.782639631019313,4.804014658106048,3.3046992e-05,4.782642614160642,4.804011672711505,1.5066646e-05,4.78263751602689,4.804016771877597,3.4070163e-05,4.782642902375248,4.804011382543372,-4.8456004e-06,4.782631874187535,4.804022418932005,2.7492732e-05,4.782641041218478,4.80401324788021,4.3925174e-06,4.782634493111441,4.804019799027891,1.544618e-05,4.782637624297413,4.804016664243114,1.4056599e-05,4.782637234255194,4.804017058323574,1.1402699e-05,4.782636480521228,4.804017810961588,-4.0420673e-08,4.782633233929691,4.804021056196444,1.0743046e-05,4.782636289572914,4.804017998037224,2.9574574e-05,4.782641631232364,4.804012657476518,5.1438474e-07,4.782633393810693,4.804020898855212,2.4656387e-05,4.782640238403379,4.804014052258088,-7.4203126e-07,4.7826330370534045,4.804021255171238,3.164154e-06,4.782634141012856,4.804020147388256,3.6028745e-05,4.782643462029735,4.80401082709633,1.5101532e-08,4.782668180044928,4.803986100402202,8
672,4.780371845783589,4.828103513084325,0.015453526750206947,0.005566752981394529,4.813784654468502,-6.1168066e-09,4.78037184581854,4.804021044733257,4.4275657e-06,4.780372470274855,4.804020421800065,4.1574487e-05,4.780383540015668,4.804009346161069,3.6913043e-05,4.780382230375268,4.804010657835249,8.804665e-06,4.7803743222815624,4.804018567201109,2.8643968e-05,4.780379903784325,4.804012984653819,2.3921399e-05,4.780378576087583,4.8040143135286355,4.353124e-05,4.780384088559626,4.804008795554611,5.914055e-06,4.780373510543147,4.804019380585677,-2.4333713e-07,4.780371777168212,4.80402111320556,9.527459e-06,4.780374526965421,4.804018363815273,4.6739893e-05,4.780384994780483,4.804007892679368,2.5754554e-05,4.780379089744601,4.804013797700512,-1.483988e-06,4.78037142861734,4.80402146231063,2.7314261e-05,4.780379531522397,4.80401335881738,3.075268e-05,4.780380495598194,4.804012391287991,2.1905798e-05,4.780378008904227,4.804014880695433,3.4848847e-05,4.780381647077992,4.804011238675272,-1.25471815e-05,4.780368316650404,4.804024575369365,2.6603966e-05,4.7803793294345445,4.804013558686192,6.516795e-06,4.780373679997373,4.8040192109814726,1.8462862e-05,4.780377038151694,4.804015849496902,1.7698057e-05,4.780376823192914,4.804016064703538,2.625669e-05,4.780379234679589,4.804013656405775,-2.1855558e-06,4.780371230113269,4.804021659723899,1.9062485e-05,4.780377208834497,4.8040156807699566,2.7690614e-05,4.780379635681887,4.804013252916952,3.825062e-06,4.780372919417475,4.804019968404404,2.4841043e-05,4.780378834985815,4.804014054751462,-1.5151454e-07,4.780371803462366,4.804021087367728,5.484071e-07,4.780371998552693,4.804020890417717,4.230612e-05,4.780383746608721,4.804009140288444,1.8645789e-08,4.78041433047355,4.803978544998515,9
