,train_loss,test_loss,train_acc,test_acc,all_loss,logit_trivial_rep_trace_similarity,logit_excluded_loss_trivial_rep,logit_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,logit_freq_1_rep_trace_similarity,logit_excluded_loss_freq_1_rep,logit_restricted_loss_freq_1_rep,logit_freq_2_rep_trace_similarity,logit_excluded_loss_freq_2_rep,logit_restricted_loss_freq_2_rep,logit_freq_3_rep_trace_similarity,logit_excluded_loss_freq_3_rep,logit_restricted_loss_freq_3_rep,logit_freq_4_rep_trace_similarity,logit_excluded_loss_freq_4_rep,logit_restricted_loss_freq_4_rep,logit_freq_5_rep_trace_similarity,logit_excluded_loss_freq_5_rep,logit_restricted_loss_freq_5_rep,logit_freq_6_rep_trace_similarity,logit_excluded_loss_freq_6_rep,logit_restricted_loss_freq_6_rep,logit_freq_7_rep_trace_similarity,logit_excluded_loss_freq_7_rep,logit_restricted_loss_freq_7_rep,logit_freq_8_rep_trace_similarity,logit_excluded_loss_freq_8_rep,logit_restricted_loss_freq_8_rep,logit_freq_9_rep_trace_similarity,logit_excluded_loss_freq_9_rep,logit_restricted_loss_freq_9_rep,logit_freq_10_rep_trace_similarity,logit_excluded_loss_freq_10_rep,logit_restricted_loss_freq_10_rep,logit_freq_11_rep_trace_similarity,logit_excluded_loss_freq_11_rep,logit_restricted_loss_freq_11_rep,logit_freq_12_rep_trace_similarity,logit_excluded_loss_freq_12_rep,logit_restricted_loss_freq_12_rep,logit_freq_13_rep_trace_similarity,logit_excluded_loss_freq_13_rep,logit_restricted_loss_freq_13_rep,logit_freq_14_rep_trace_similarity,logit_excluded_loss_freq_14_rep,logit_restricted_loss_freq_14_rep,logit_freq_15_rep_trace_similarity,logit_excluded_loss_freq_15_rep,logit_restricted_loss_freq_15_rep,logit_freq_16_rep_trace_similarity,logit_excluded_loss_freq_16_rep,logit_restricted_loss_freq_16_rep,logit_freq_17_rep_trace_similarity,logit_excluded_loss_freq_17_rep,logit_restricted_loss_freq_17_rep,logit_freq_18_rep_trace_similarity,logit_excluded_loss_freq_18_rep,logit_restricted_loss_freq_18_rep,logit_freq_19_rep_trace_similarity,logit_excluded_loss_freq_19_rep,logit_restricted_loss_freq_19_rep,logit_freq_20_rep_trace_similarity,logit_excluded_loss_freq_20_rep,logit_restricted_loss_freq_20_rep,logit_freq_21_rep_trace_similarity,logit_excluded_loss_freq_21_rep,logit_restricted_loss_freq_21_rep,logit_freq_22_rep_trace_similarity,logit_excluded_loss_freq_22_rep,logit_restricted_loss_freq_22_rep,logit_freq_23_rep_trace_similarity,logit_excluded_loss_freq_23_rep,logit_restricted_loss_freq_23_rep,logit_freq_24_rep_trace_similarity,logit_excluded_loss_freq_24_rep,logit_restricted_loss_freq_24_rep,logit_freq_25_rep_trace_similarity,logit_excluded_loss_freq_25_rep,logit_restricted_loss_freq_25_rep,logit_freq_26_rep_trace_similarity,logit_excluded_loss_freq_26_rep,logit_restricted_loss_freq_26_rep,logit_freq_27_rep_trace_similarity,logit_excluded_loss_freq_27_rep,logit_restricted_loss_freq_27_rep,logit_freq_28_rep_trace_similarity,logit_excluded_loss_freq_28_rep,logit_restricted_loss_freq_28_rep,logit_freq_29_rep_trace_similarity,logit_excluded_loss_freq_29_rep,logit_restricted_loss_freq_29_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,epoch
318,4.769128503012847,4.776873456641915,0.009815657511353493,0.008515440858900547,4.7745500820072815,7.8216544e-11,4.769128503003227,4.770684624465665,4.6169735e-05,4.76913258116039,4.770680546090554,-2.149475e-05,4.76912470472498,4.770688421926385,4.147328e-05,4.769135829247039,4.77067729742391,-5.4681004e-06,4.76912753598371,4.770685590510359,-4.383837e-06,4.769127728135047,4.7706853989544795,1.0446165e-06,4.769128687392424,4.770684439914173,9.624084e-06,4.769130202032522,4.770682924187512,2.848892e-06,4.76912900771993,4.770684121154397,-1.683718e-05,4.769125528405139,4.770687599076973,-1.6440179e-05,4.769125597976407,4.770687528938737,2.201818e-05,4.76913239217401,4.770680734534615,4.567997e-05,4.769136572774171,4.770676554232654,-4.9718074e-06,4.769127624064514,4.770685502830677,1.8181136e-05,4.769131715615088,4.770681412421345,-1.4397723e-05,4.769125959515736,4.770687168099643,-2.9423016e-05,4.769123304465929,4.770689822607786,-2.0144464e-05,4.76912494323576,4.77068818337208,-2.0985754e-05,4.769124794656537,4.7706883320020665,3.998968e-06,4.769129208956085,4.770683917971495,1.3814667e-05,4.769130945032682,4.770682183841021,1.2349701e-05,4.769130683940176,4.770682442655094,1.02171325e-05,4.76913030744481,4.770682819414105,2.963443e-05,4.769133738031508,4.770679388980116,1.5094662e-05,4.769131170257292,4.770681957705757,-2.709845e-05,4.769123716079646,4.770689411928143,7.075685e-05,4.769141004686298,4.7706721239343945,-1.0205258e-07,4.769128486222352,4.770684642495207,-4.474256e-05,4.769120599382587,4.770692529102921,1.0472206e-05,4.7691303522041295,4.7706827743505995,1.9865867e-05,4.769132013561778,4.7706811147817305,1.9681236e-08,4.769135902637518,4.770677225198687,0
27,4.7645763239241194,4.777608089524943,0.011491501703858376,0.007797271013259888,4.77369874728546,9.458745e-11,4.764576323946216,4.770684624465665,6.414612e-05,4.764581357825887,4.7706795915642966,-1.7263577e-05,4.764573613893371,4.770687333472041,2.354107e-05,4.764580018475783,4.770680930395936,1.0407093e-05,4.764577956752765,4.770682991381865,-4.0877712e-06,4.764575683098782,4.770685265919939,6.6254506e-07,4.764576428193848,4.770684520498911,1.7155224e-05,4.764579015630762,4.770681932464125,1.8417944e-05,4.764579214468797,4.770681734317645,2.89745e-06,4.76457677906626,4.770684169797042,-1.3743498e-05,4.764574168112322,4.7706867810998785,2.4212886e-05,4.764580123555372,4.770680824974456,4.539863e-05,4.764583445655568,4.770677500505984,-8.015166e-06,4.764575066229088,4.7706858822079035,4.3159263e-05,4.76458309522839,4.770677851907752,-2.2598033e-05,4.764572778339555,4.770688170556833,-2.9586448e-05,4.764571681353608,4.77068926718233,-7.295239e-07,4.764576209711943,4.770684738942762,9.619827e-06,4.764577833531495,4.770683114919955,1.9865827e-05,4.764579440183266,4.770681507115811,6.822629e-06,4.764577395198181,4.770683553856963,1.5871286e-05,4.76457881364743,4.770682133939585,7.6227298e-06,4.764577520581715,4.770683428304892,2.6942504e-05,4.764580551103115,4.770680396642682,1.9412437e-05,4.764579369816046,4.770681578261658,-2.3783901e-05,4.764572592637499,4.770688356643712,6.2946645e-05,4.764586201704214,4.770674746872458,1.4856807e-05,4.764578654673023,4.770682293131976,-2.99942e-05,4.764571616813312,4.770689331166725,1.7308885e-05,4.7645790405023725,4.77068190835162,3.206395e-05,4.764581355380537,4.770679592984985,2.080653e-08,4.764585373193411,4.770675574783361,1
335,4.761471689100339,4.779834988088092,0.011012688279151917,0.0072842929512262344,4.774326262488313,4.092726e-11,4.761471689067409,4.770684624465665,4.847109e-05,4.761475869524867,4.770680444009291,-6.4943015e-06,4.761470569873984,4.770685744688173,6.0905586e-06,4.761472740683437,4.770683573886306,2.8244976e-05,4.761476561079741,4.770679752404193,-6.5889108e-06,4.761470552299163,4.77068576100769,2.237174e-05,4.761475548019069,4.77068076549606,1.892398e-05,4.761474952049189,4.770681360210472,9.015166e-07,4.761471843940695,4.770684468960251,3.120917e-05,4.761477072508754,4.770679241102379,9.443611e-06,4.761473317764383,4.770682995508123,2.1656717e-05,4.76147542454725,4.7706808888325245,2.8613686e-05,4.761476622273645,4.770679688804676,-1.4562102e-06,4.7614714371842,4.7706848756519085,5.5108874e-05,4.761481194569821,4.770675118575661,2.0302214e-06,4.761472040286916,4.7706842742664515,-1.02764825e-05,4.761469916072046,4.770686397088739,-4.9245427e-06,4.761470839696177,4.770685473915503,-1.9781146e-07,4.7614716547462,4.77068465858678,1.949714e-05,4.761475051896697,4.770681261344397,-5.266167e-06,4.761470780388072,4.770685532843383,2.191482e-05,4.761475468763092,4.770680844311659,3.5874618e-06,4.761472308549658,4.770684005653191,1.767939e-05,4.761474738723398,4.770681574893807,8.736613e-06,4.7614731953965235,4.770683117460173,-3.1346171e-06,4.761471148247805,4.770685165165644,3.506164e-05,4.761477737133082,4.770678576578321,5.1251263e-06,4.761472572872941,4.77068374041668,-1.2164037e-05,4.761469589784995,4.770686722678905,1.6088194e-05,4.7614744624097955,4.770681849363876,1.2736935e-05,4.761473885632299,4.77068242743266,1.2777735e-08,4.761479402293097,4.770676910691262,2
299,4.759028319122067,4.78270720647491,0.010533875785768032,0.007079101633280516,4.77560387999993,2.6875568e-10,4.75902831912667,4.770684624465665,3.6301353e-05,4.759031950404076,4.770680992897432,-6.4762135e-06,4.759027022972752,4.770685920222177,-1.6000122e-06,4.759028000419195,4.770684944595025,2.738298e-05,4.759033797633033,4.770679145701994,3.2072421e-06,4.759028960273326,4.77068398276292,2.4575362e-05,4.759033235888688,4.770679707447017,2.665876e-05,4.759033652439202,4.770679290602943,-2.0558582e-06,4.75902790709708,4.770685035800383,1.664616e-05,4.75903165112205,4.770681293914962,2.3938745e-05,4.7590331068047576,4.770679834820698,2.264392e-05,4.7590328485235815,4.770680093888142,4.812664e-06,4.75902928216935,4.770683661551225,-9.978961e-06,4.759026322470933,4.7706866210498715,4.4888693e-05,4.759037299164825,4.770675643176482,-1.05080035e-05,4.759026218251118,4.7706867269003235,-1.0704225e-05,4.75902617747461,4.7706867661602725,6.350423e-06,4.759029589606374,4.770683353877559,-5.8422956e-06,4.759027151567757,4.77068579338833,1.2465727e-05,4.759030812740506,4.770682130332297,-1.1804877e-06,4.759028082025301,4.770684860656856,2.1890584e-05,4.7590326993208745,4.770680244614886,-3.471796e-06,4.759027624156468,4.770685319100261,4.2468782e-05,4.7590368135378895,4.7706761273503755,1.17307645e-05,4.7590306675383385,4.770682277382953,1.06198495e-05,4.759030444258861,4.770682499654234,2.9132292e-05,4.759034146386848,4.770678795700731,9.423733e-06,4.759030205269937,4.770682738972182,4.856882e-06,4.759029289356031,4.77068365270423,1.633554e-05,4.759031586741204,4.770681356063412,9.9846875e-06,4.75903031620236,4.7706826267367255,1.1271027e-08,4.759043079923001,4.770669862006993,3
375,4.756807478214686,4.785645941004513,0.009815657511353493,0.00738688837736845,4.776994816319759,4.0017767e-11,4.756807478227474,4.770684624465665,2.0066393e-05,4.756809753282,4.770682350105766,5.2554533e-06,4.756808670131547,4.770683433139989,7.6500874e-07,4.756807652737948,4.770684451050623,2.5137328e-05,4.756813174306502,4.770678926246233,1.588665e-05,4.756811079739199,4.7706810232220676,1.5667294e-05,4.756811028116202,4.770681072946596,3.4325327e-05,4.756815255657972,4.770676843479585,-4.521622e-06,4.756806452029335,4.770685649444041,5.0240305e-06,4.756808615560371,4.7706834855997435,2.7448754e-05,4.756813700711316,4.770678402283931,2.6633039e-05,4.756813513704269,4.770678587193026,7.978268e-06,4.75680928500037,4.770682815922561,-4.4510525e-06,4.756806468966025,4.7706856334470515,4.1005005e-05,4.756816773585741,4.770675329308757,-1.1064862e-05,4.756804971771258,4.770687132690718,-1.0000484e-05,4.7568052123699625,4.7706868914134555,1.843668e-05,4.756811655496037,4.7706804451723395,5.5714554e-06,4.756808742700516,4.770683361507534,1.1130745e-05,4.756810000278197,4.770682101307382,1.02921895e-05,4.756809811937033,4.7706822913943885,1.6861883e-05,4.756811301634019,4.770680802152758,-1.5706828e-06,4.756807121164123,4.77068498051393,4.1263193e-05,4.756816831317908,4.770675270781978,1.2194956e-05,4.75681024401389,4.770681860068393,2.3492204e-05,4.756812801295301,4.770679299168555,3.1524913e-05,4.756814624966065,4.770677478287065,6.3416082e-06,4.756808913365759,4.770683186926447,2.2046695e-05,4.7568124749118486,4.770679626841333,2.4318666e-05,4.756812990744837,4.770679111823348,1.7060735e-05,4.756811347036869,4.77068075707642,1.1927957e-08,4.7568220901380265,4.770670010929739,4
148,4.754630941894832,4.788387831240108,0.012927939184010029,0.006668718997389078,4.778261249572727,1.882654e-10,4.754630941855289,4.770684624465665,3.0690513e-05,4.7546347558233135,4.7706808102679386,6.363829e-06,4.754632522111733,4.770683042677682,7.736438e-06,4.7546328644454725,4.77068270150307,2.389605e-05,4.754636880888948,4.770678684886695,1.8378632e-05,4.754635510632891,4.770680056289654,6.124428e-06,4.754632462516235,4.770683102182823,3.0799987e-05,4.754638597277573,4.770676968852288,-2.2677632e-06,4.754630376856679,4.770685188139144,8.5372885e-06,4.75463306228618,4.770682502444564,3.4445955e-05,4.754639502876323,4.770676062615401,3.497491e-05,4.7546396328107425,4.770675931139123,1.4581376e-05,4.754634563389018,4.770681000132065,-2.009765e-07,4.754630892657159,4.77068467442023,3.6861074e-05,4.754640102492302,4.77067546231568,-1.3558627e-05,4.754627574452305,4.7706879945887835,3.5318735e-06,4.754631819740453,4.7706837465860055,2.7739425e-05,4.754637836161069,4.770677729582282,2.1845914e-05,4.754636369171436,4.770679194466299,1.1180295e-05,4.754633717791504,4.770681845501482,5.589707e-06,4.754632329438994,4.770683235092588,1.7355254e-05,4.7546352531400995,4.770680310659585,2.9503208e-06,4.7546316739778645,4.770683891136348,3.562255e-05,4.754639793185961,4.7706757701616604,2.8317343e-05,4.754637977461871,4.7706775859351,2.6698599e-05,4.754637575676151,4.770677988288526,3.2667886e-05,4.754639060690887,4.770676504569771,8.304283e-06,4.754633006715064,4.770682560360013,2.101003e-05,4.754636161443787,4.770679402232354,2.1848427e-05,4.754636369901297,4.770679193841468,1.3664328e-05,4.754634338946173,4.77068122807215,1.3930871e-08,4.754646169188793,4.7706693922492684,5
22,4.752427355230477,4.790826579974616,0.013646157458424568,0.005540166515856981,4.779307363985641,1.8872015e-10,4.752427355234945,4.770684624465665,4.5315915e-05,4.752433369464189,4.770678611173078,5.562222e-06,4.752428831530091,4.770683148279526,1.8027087e-05,4.752432138543151,4.77067984016804,2.5163055e-05,4.752434030321531,4.770677946319499,1.7598002e-05,4.752432023875357,4.770679954044842,4.454392e-06,4.7524285368246275,4.770683442292121,3.393321e-05,4.75243635631411,4.770675618768383,-4.584501e-06,4.752426137629228,4.770685841169784,1.0309017e-05,4.752430092169448,4.770681888504172,4.263618e-05,4.752438667176356,4.770673309048825,3.2638607e-05,4.7524360153918614,4.770675962349294,1.498147e-05,4.752431330058934,4.770680648459226,2.614208e-06,4.752428049808721,4.7706839306677535,3.983488e-05,4.752437923235425,4.770674052498673,-3.2038079e-06,4.7524265051992725,4.770685474740585,7.0865663e-06,4.752429233773781,4.7706827437263355,2.5064219e-05,4.752434004843143,4.770677972551095,2.9751172e-05,4.752435250533009,4.770676728658848,1.5107864e-05,4.752431363946742,4.770680614914814,7.470493e-06,4.752429337706544,4.770682641834103,2.650766e-05,4.752434387379329,4.770677589469405,-1.4560283e-06,4.752426968118118,4.770685010888437,3.406269e-05,4.752436394318493,4.770675584405978,3.635756e-05,4.752437003532862,4.770674975359736,2.280259e-05,4.752433403935036,4.7706785727752665,3.6020778e-05,4.752436915004807,4.770675064739153,5.042588e-06,4.752428694420425,4.770683286187866,2.2395121e-05,4.752433297979593,4.770678680914923,2.4978652e-05,4.7524339839412315,4.770677995259792,1.4648631e-05,4.752431242985193,4.770680736792889,1.7579874e-08,4.752444765790352,4.7706672111330475,6
362,4.750195736957771,4.792968228474579,0.01580081507563591,0.0057453578338027,4.780137095266461,3.6561687e-10,4.7501957369960826,4.770684624465665,4.963798e-05,4.750202636230689,4.770677724657936,8.0419995e-06,4.750197972228001,4.7706823887409575,3.0432653e-05,4.750204197434151,4.7706761640102195,2.1821557e-05,4.750201801771991,4.770678557943265,1.4631845e-05,4.750199802700161,4.770680556724933,2.3644607e-06,4.750196392877644,4.770683967131155,3.7239057e-05,4.750206086549362,4.770674271792735,-7.0280657e-06,4.750193783713842,4.770686578311554,1.2892331e-05,4.750199321621386,4.770681040320092,4.0247774e-05,4.750206922865307,4.770673435352734,2.5455563e-05,4.7502028120265525,4.770677547669109,2.0343137e-05,4.750201391786037,4.770678968952413,3.875786e-06,4.750196812956355,4.770683546973456,3.5446425e-05,4.75020558892456,4.770674770154543,7.3657575e-06,4.75019778347661,4.770682576740464,9.518444e-06,4.750198384383334,4.770681978280568,2.0434405e-05,4.750201416183824,4.770678943579809,3.3994093e-05,4.750205183006246,4.770675173911024,1.1778935e-05,4.75019901321374,4.770681349850661,1.5621943e-05,4.750200078068326,4.770680281472114,3.2571406e-05,4.750204790991695,4.770675569424796,-5.4113116e-06,4.750194233676669,4.770686128843848,3.755761e-05,4.750206176322137,4.770674183233665,4.3052212e-05,4.750207701353681,4.770672655704293,1.5083224e-05,4.750199928784335,4.770680431238901,4.2909047e-05,4.750207663701048,4.770672695504583,1.6864215e-06,4.750196204474605,4.770684155630156,2.5077405e-05,4.750202708466065,4.77067765279922,2.7788847e-05,4.75020345902205,4.7706768990032105,1.77878e-05,4.750200682852518,4.770679679351403,1.9950237e-08,4.750215699258165,4.770664659358264,7
466,4.747918531292438,4.794835382605972,0.016519032418727875,0.004924592562019825,4.780761000842123,2.55568e-10,4.747918531303817,4.770684624465665,5.40138e-05,4.7479262817096375,4.7706768706832285,1.02813065e-05,4.747921481448811,4.770681672653731,3.573438e-05,4.747928789198726,4.770674364963846,2.0641892e-05,4.747924456879566,4.770678698082979,1.655506e-05,4.747923282137433,4.770679871430538,4.022513e-06,4.747919688710381,4.770683469582751,4.275876e-05,4.74793080351215,4.77067234823689,-3.764144e-07,4.747918422345678,4.770684732536069,1.9127088e-05,4.747924022712596,4.770679132989542,3.736408e-05,4.747929256457992,4.770673897071046,1.705483e-05,4.747923426845824,4.770679727944278,2.4939705e-05,4.747925688709995,4.770677464161715,8.257426e-06,4.747920901636678,4.770682253719283,2.8589515e-05,4.747926736924531,4.770676416285333,1.8061866e-05,4.747923714517953,4.7706794388194815,5.0468825e-06,4.747919979192071,4.770683175481482,1.1640972e-05,4.747921871849544,4.770681282287309,3.7621172e-05,4.747929329209257,4.770673823259317,5.732505e-06,4.747920174309997,4.770682978635859,2.2768923e-05,4.747925066511966,4.77067808740236,2.9652532e-05,4.7479270425886995,4.770676111088607,1.4018515e-06,4.747918934929831,4.770684221987334,3.7336333e-05,4.747929248260992,4.770673905037233,4.6183573e-05,4.747931787978858,4.77067136495895,1.2171291e-05,4.747922026024935,4.770681130030528,4.053294e-05,4.747930163958625,4.770672987278698,1.0833319e-06,4.747918841488734,4.770684313435856,2.1759442e-05,4.747924776278943,4.770678377229209,3.4292574e-05,4.74792837419256,4.770674778912948,2.0831165e-05,4.747924511285117,4.770678643741675,2.1142894e-08,4.747938072621905,4.770665080630274,8
672,4.745569317327507,4.796466808022319,0.014603782445192337,0.005540166515856981,4.781198291320425,3.7289283e-11,4.745569317432004,4.770684624465665,5.324086e-05,4.745577124673191,4.7706768142358795,1.1996308e-05,4.745572834692578,4.770681104828676,3.7440477e-05,4.745580298993957,4.770673639689255,1.5921425e-05,4.74557398616424,4.770679953226311,2.3247583e-05,4.7455761371445755,4.770677803782377,8.68857e-06,4.745571866784608,4.770682075296757,4.6118883e-05,4.745582841523924,4.7706710935093035,5.8036385e-06,4.745571018868908,4.770682921716419,2.2281129e-05,4.74557585260978,4.7706780873337005,3.8689555e-05,4.745580666960794,4.770673273218519,1.4810947e-05,4.745573663412379,4.770680279032852,2.5315938e-05,4.745576738080411,4.770677196941739,1.2571487e-05,4.745573007322302,4.770680936075274,2.2893159e-05,4.745576032765175,4.77067790776792,2.2335007e-05,4.745575869184377,4.77067807152625,4.2695447e-06,4.745570568980062,4.770683371809376,8.86658e-06,4.745571918713155,4.770682023069745,3.889219e-05,4.7455807271932615,4.770673213767706,1.973087e-06,4.745569895569144,4.770684045574886,3.011229e-05,4.745578149166319,4.770675789726687,3.201241e-05,4.745578705176931,4.770675232244997,8.157374e-06,4.745571710069732,4.770682231146076,4.0266157e-05,4.745581129026592,4.770672810655357,4.681188e-05,4.745583048207651,4.7706708901898,1.1987791e-05,4.745572833291078,4.770681107327515,3.5408015e-05,4.745579702624333,4.7706742359987695,1.1103199e-05,4.745572573141278,4.7706813668611465,1.8183784e-05,4.745574651014552,4.770679289465613,4.370715e-05,4.745582138471728,4.770671801093885,2.6244988e-05,4.74557701550774,4.770676924365349,2.3319563e-08,4.745593774671261,4.770660160830611,9
