,train_loss,test_loss,train_acc,test_acc,all_loss,percent_x_embed_trivial_rep,percent_y_embed_trivial_rep,percent_unembed_trivial_rep,percent_hidden_trivial_rep,hidden_excluded_loss_trivial_rep,hidden_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,percent_x_embed_sign_rep,percent_y_embed_sign_rep,percent_unembed_sign_rep,percent_hidden_sign_rep,hidden_excluded_loss_sign_rep,hidden_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,percent_x_embed_standard_rep,percent_y_embed_standard_rep,percent_unembed_standard_rep,percent_hidden_standard_rep,hidden_excluded_loss_standard_rep,hidden_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,percent_x_embed_standard_sign_rep,percent_y_embed_standard_sign_rep,percent_unembed_standard_sign_rep,percent_hidden_standard_sign_rep,hidden_excluded_loss_standard_sign_rep,hidden_restricted_loss_standard_sign_rep,logit_s5_5d_a_rep_trace_similarity,logit_excluded_loss_s5_5d_a_rep,logit_restricted_loss_s5_5d_a_rep,percent_x_embed_s5_5d_a_rep,percent_y_embed_s5_5d_a_rep,percent_unembed_s5_5d_a_rep,percent_hidden_s5_5d_a_rep,hidden_excluded_loss_s5_5d_a_rep,hidden_restricted_loss_s5_5d_a_rep,logit_s5_5d_b_rep_trace_similarity,logit_excluded_loss_s5_5d_b_rep,logit_restricted_loss_s5_5d_b_rep,percent_x_embed_s5_5d_b_rep,percent_y_embed_s5_5d_b_rep,percent_unembed_s5_5d_b_rep,percent_hidden_s5_5d_b_rep,hidden_excluded_loss_s5_5d_b_rep,hidden_restricted_loss_s5_5d_b_rep,logit_s5_6d_rep_trace_similarity,logit_excluded_loss_s5_6d_rep,logit_restricted_loss_s5_6d_rep,percent_x_embed_s5_6d_rep,percent_y_embed_s5_6d_rep,percent_unembed_s5_6d_rep,percent_hidden_s5_6d_rep,hidden_excluded_loss_s5_6d_rep,hidden_restricted_loss_s5_6d_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,total_hidden_excluded_loss,total_hidden_restricted_loss,test_loss_restricted_loss_ratio,sum_of_squared_weights,epoch
145,4.74561360315914,4.808467870115214,0.03715277835726738,0.00208333320915699,4.783326163270466,0.009946361,0.011655505,0.008864362,0.32857797,4.748047870114672,4.7880474829158866,0.0012283479,4.745683859288058,4.787421463037404,0.010649619,0.009708099,0.007352648,1.06232565e-05,4.745686223181224,4.7874214782162055,0.0032792464,4.746363874323157,4.7867412475693065,0.13529855,0.13497218,0.12936354,0.00011403228,4.746375919172839,4.7867414028477935,0.0034021274,4.746391962661686,4.786713125473285,0.13633233,0.12747525,0.13195449,0.00012011436,4.746385912590551,4.78671329415547,0.004164177,4.746804511054986,4.786300465473264,0.20376082,0.22482735,0.20437014,0.00017850637,4.746828347532499,4.786300717934644,0.0039576283,4.746745421601675,4.786359553048755,0.19731224,0.19706482,0.21405266,0.00015558682,4.746761176454843,4.786359775955944,0.005472365,4.747491589008031,4.785613122322595,0.30670002,0.29429683,0.30404216,0.00026492492,4.74750452647399,4.785613500850646,8.6786735e-05,4.7484033994546975,4.7847010732448165,4.748435593981668,4.784701664861533,1.004967123745294,503.86465,10
212,4.7418645049015264,4.810544328115928,0.03715277835726738,0.0017361111240461469,4.783072398851517,0.010231891,0.012048111,0.008792861,0.3296852,4.74455155662961,4.788124667086791,0.0012821311,4.741941551812419,4.787414667648195,0.010742818,0.0097578,0.007367658,1.0979365e-05,4.7419441900190735,4.787414684451756,0.003352165,4.7426703128250915,4.786685672317887,0.13499182,0.1349895,0.12928021,0.00011319363,4.742683689108828,4.7866858380359485,0.0034845946,4.742702115923197,4.786653828715935,0.13585454,0.12704992,0.13202795,0.00011914804,4.742697372701012,4.786654007379277,0.004253939,4.743142711916502,4.786213101487586,0.20370041,0.22470707,0.20427549,0.00017701017,4.743168513387381,4.78621336962289,0.0040477766,4.743080743976314,4.786275067784391,0.19709799,0.19633362,0.21407105,0.00015420129,4.743097688554487,4.786275305343758,0.0055696084,4.743872681975937,4.785482823826744,0.3073805,0.29511392,0.3041848,0.00026306463,4.743888425422019,4.785483225837951,9.052431e-05,4.744863178540203,4.784492041895664,4.744900252195502,4.784492671169667,1.0054450197203235,507.32434,11
117,4.738053029208519,4.812697037602104,0.03940972313284874,0.0012731481110677123,4.7828394343269816,0.010610808,0.012569715,0.008717656,0.3309494,4.740998951582416,4.788214053189254,0.0013263074,4.738136882234967,4.78740785667045,0.0108220065,0.009805283,0.0073840497,1.1275021e-05,4.738139754869595,4.787407875261043,0.0034046327,4.738914077157266,4.786630386827084,0.13463628,0.13502544,0.12919797,0.00011223878,4.7389288090858495,4.786630563595049,0.0035462538,4.738949859458326,4.786594558370343,0.13537017,0.12661275,0.13210219,0.00011777971,4.738946421019892,4.786594747501664,0.004324781,4.739420208358125,4.786124057094692,0.20366645,0.22452837,0.2041861,0.00017520279,4.7394480301961215,4.786124341739186,0.0041215653,4.7393559429461325,4.786188321089223,0.19693135,0.19562241,0.21409103,0.00015259904,4.739374026147557,4.78618857432276,0.0056335456,4.740190056683096,4.785353858213788,0.3079629,0.2958361,0.30432102,0.0002607933,4.740208429589887,4.785354285546552,9.335439e-05,4.741261942951367,4.784281630710887,4.7413039299331485,4.78428229976769,1.0059391850342514,511.13126,12
98,4.734171107162559,4.814931825581122,0.0399305559694767,0.0012731481110677123,4.78262753816504,0.011087926,0.0132249575,0.008639121,0.33234292,4.737381712804529,4.7883169807914765,0.0013610878,4.734261733993645,4.787401077132009,0.010891266,0.00984935,0.007401636,1.15136e-05,4.73426480960522,4.787401097571548,0.003439655,4.735087265771112,4.786575229402272,0.13423891,0.13505578,0.12911698,0.00011114305,4.735103404688358,4.78657541798488,0.003591862,4.735127766128497,4.786534674306644,0.13489485,0.12616569,0.13217622,0.00011626174,4.735125651430234,4.78653487459389,0.004376108,4.7356280649304425,4.786034198625926,0.20366064,0.22429228,0.2041026,0.0001731711,4.735657772052057,4.7860345009765055,0.0041768188,4.7355616889806935,4.7861005736957445,0.19678904,0.1949451,0.21411255,0.00015074431,4.735580784167734,4.78610084412823,0.0056763487,4.73643885328445,4.785223011909024,0.30843738,0.29646686,0.30445087,0.0002582299,4.7364598391860335,4.785223466727653,9.540233e-05,4.737591511105564,4.7840699512043106,4.737638319400926,4.784070662809835,1.0064508166677373,515.28076,13
374,4.730207187514132,4.817257219163045,0.04149305820465088,0.00138888880610466,4.782437206741973,0.011668524,0.014015403,0.008557661,0.33385003,4.733687760520175,4.788434943880315,0.00139159,4.7303048461813875,4.787394041063384,0.010951555,0.0098921275,0.0074202903,1.1721657e-05,4.73030812945796,4.7873940635611545,0.0034644778,4.731179742732238,4.786518778988467,0.1338122,0.13506901,0.12903765,0.00010987881,4.731197199015484,4.786518980362348,0.0036230702,4.731224220280257,4.786474241312739,0.13443999,0.12571087,0.13224941,0.000114590235,4.731223426658817,4.786474453789165,0.004410402,4.731754785585488,4.785943472423288,0.20365438,0.2239979,0.20402545,0.00017102239,4.731786022689154,4.785943794252708,0.004219846,4.731687892238863,4.786010365037509,0.19665253,0.19430487,0.21413511,0.00014881187,4.731707972566996,4.78601065371836,0.005697461,4.732606168979559,4.785091637824499,0.30882087,0.29700977,0.3045745,0.00025521155,4.732629614185666,4.7850921222622755,9.6785574e-05,4.73384203295267,4.78385530548369,4.733893216896294,4.783856063726843,1.0069820569413581,519.7683,14
130,4.726146728855997,4.81968600397874,0.04149305820465088,0.0012731481110677123,4.782270294028509,0.01235503,0.014944985,0.008473596,0.33545923,4.729901786792353,4.7885695446984675,0.0014210965,4.726251891348175,4.787386528904663,0.011005358,0.0099316975,0.007439874,1.1887492e-05,4.726255356079782,4.787386553573727,0.0034788633,4.727176542759947,4.786461461826605,0.13336624,0.1350693,0.12896045,0.00010855095,4.7271951956460345,4.7864616768728965,0.0036428983,4.727225050903308,4.786412883747933,0.13399819,0.1252458,0.13232139,0.000112855,4.72722556533546,4.786413109246924,0.0044279927,4.7277851692643065,4.785852531430319,0.20363955,0.22363366,0.2039549,0.0001687692,4.727817836557084,4.785852874606747,0.0042502144,4.727719359023537,4.7859183415554805,0.19650996,0.1937102,0.21415803,0.00014672842,4.727740466812831,4.785918650314426,0.0057039205,4.728679306760456,4.784957887883536,0.30912566,0.29746437,0.30469176,0.00025195934,4.7287050905828,4.784958403673629,9.7598866e-05,4.729998473759288,4.783638177625184,4.730053770681189,4.78363898607787,1.00753548041685,524.5906,15
57,4.7219827776041035,4.822224599921695,0.04236111044883728,0.0011574074160307646,4.782127871158172,0.0131493015,0.016017532,0.008387227,0.33716416,4.726015908226487,4.788722582217971,0.0014421889,4.722095356153677,4.787379106279309,0.011054273,0.009962815,0.0074602244,1.1997122e-05,4.722098992001452,4.787379133254572,0.0034852754,4.723071087018845,4.786402903559811,0.13291413,0.13505149,0.12888584,0.00010716019,4.723091000570698,4.786403133639785,0.0036524972,4.723123248206355,4.786350663493199,0.13356546,0.12477896,0.13239199,0.00011108486,4.723125112103536,4.786350902930968,0.0044338433,4.723713379275128,4.785760265587097,0.2036151,0.22321303,0.20389116,0.00016642011,4.723747532589733,4.785760631550462,0.004271212,4.723649872543468,4.785823773276498,0.19635606,0.19316414,0.21418093,0.00014468803,4.723671958947571,4.785824103856224,0.0056981277,4.724651567667194,4.784821512072537,0.3093456,0.29781196,0.3048026,0.00024855137,4.724679581958954,4.784822062222692,9.793867e-05,4.7260547416577126,4.783417710612521,4.726114308537923,4.783418573140772,1.008112613643895,529.7428,16
187,4.717703947901856,4.824880574467935,0.0425347238779068,0.001041666604578495,4.782009923986553,0.014053883,0.017230239,0.008298877,0.33896115,4.722017533214601,4.788895969497774,0.0014557561,4.717823842794755,4.787371783421367,0.011095251,0.009986307,0.007481184,1.20626955e-05,4.71782762790495,4.787371812842161,0.0034841825,4.718851813464213,4.78634328015085,0.13245434,0.13501437,0.12881425,0.000105711915,4.718872832142033,4.7863435262772125,0.0036547813,4.718907952981886,4.786287049279076,0.13314037,0.1243197,0.132461,0.000109328204,4.718911316470156,4.786287304010107,0.004432564,4.71952929558834,4.785665406657222,0.2035688,0.22274062,0.2038346,0.00016388594,4.719564954412707,4.785665796609702,0.0042861504,4.719468966862527,4.78572573095328,0.19619754,0.19264135,0.21420318,0.00014276542,4.719492183427931,4.785726085504877,0.0056829033,4.72051212701798,4.784681938165922,0.3094898,0.2980674,0.3049069,0.00024506633,4.720542380816352,4.784682525127868,9.7930286e-05,4.722001058619795,4.783192291122114,4.7220648945314645,4.783193211320152,1.0087153834909122,535.2214,17
697,4.71330277134429,4.82766274605734,0.0425347238779068,0.0009259259095415473,4.781918756303965,0.015065023,0.018578414,0.008208928,0.3408392,4.7178977079486355,4.789091679580511,0.0014645397,4.713430034011635,4.787364405988851,0.011127583,0.010005788,0.0075026723,1.2090313e-05,4.713433958204859,4.787364437965938,0.0034807231,4.714512676565103,4.786281162838044,0.1319843,0.13496478,0.12874612,0.000104265375,4.714534822395607,4.786281426385077,0.0036524388,4.714572293765752,4.7862214433769665,0.13273643,0.12386714,0.13252836,0.000107525295,4.714577166306515,4.786221714480065,0.00442174,4.715223980290341,4.785569417431659,0.20348956,0.22221455,0.20378545,0.00016129231,4.715261314811082,4.785569832881476,0.004291953,4.715167556143317,4.7856258393133055,0.19602588,0.19212843,0.21422401,0.00014087866,4.715191954661343,4.785626219880546,0.005663218,4.716255398573379,4.784537289511469,0.30957124,0.29824096,0.3050043,0.00024157821,4.716288014155349,4.784537916281383,9.76453e-05,4.717830672770615,4.7829612016738645,4.717898954995204,4.782962183470031,1.0093457905106995,541.02313,18
616,4.70877816843957,4.830580276520913,0.04409722238779068,0.0008101851562969387,4.781859433244982,0.016179586,0.02005792,0.008117723,0.3427936,4.713653900245687,4.789311839955665,0.001467103,4.708912666262653,4.787357159225727,0.011149409,0.010018307,0.007524726,1.2079063e-05,4.708916710420916,4.787357193859093,0.0034740986,4.710052217385931,4.78621693276385,0.13150652,0.13490927,0.12868184,0.00010273738,4.710075456354027,4.786217214463393,0.0036443865,4.710114588476894,4.7861544486759255,0.13234723,0.12342678,0.13259432,0.00010579408,4.710120788380193,4.786154737740566,0.00440445,4.7107971615842255,4.785471494491748,0.20339906,0.22162437,0.2037437,0.00015864975,4.71083629450679,4.785471937723715,0.0042902236,4.710744768929626,4.78552388605418,0.19584022,0.19162253,0.21424307,0.00013894158,4.710770415950552,4.785524294657212,0.005637292,4.7118789930100125,4.784388871999577,0.3095779,0.29834086,0.3050946,0.00023798776,4.711914132718538,4.784389542117807,9.7087555e-05,4.713542138775019,4.78272480691554,4.713614753308123,4.782725855481484,1.0100056792894754,547.1472,19
