,train_loss,test_loss,train_acc,test_acc,all_loss,logit_trivial_rep_trace_similarity,logit_excluded_loss_trivial_rep,logit_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,logit_s5_5d_a_rep_trace_similarity,logit_excluded_loss_s5_5d_a_rep,logit_restricted_loss_s5_5d_a_rep,logit_s5_5d_b_rep_trace_similarity,logit_excluded_loss_s5_5d_b_rep,logit_restricted_loss_s5_5d_b_rep,logit_s5_6d_rep_trace_similarity,logit_excluded_loss_s5_6d_rep,logit_restricted_loss_s5_6d_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,epoch
138,4.776330527789365,4.811386257011598,0.012500000186264515,0.0034722222480922937,4.7903528196733625,1.1568773e-09,4.776330528102323,4.787491742782046,7.462687e-05,4.7763364961599635,4.787485773472813,0.000116909214,4.776367930652183,4.787454337033089,0.00013555048,4.776373893059045,4.7874483726619275,0.00019528401,4.7764086213871035,4.7874136400610405,0.00016360596,4.77639595351055,4.787426309496928,0.0001769932,4.7764154635237865,4.787406797852468,1.3384022e-07,4.776379859761207,4.787442403353107,10
215,4.775108299095928,4.813307431541204,0.012500000186264515,0.0031250000465661287,4.790387952179358,9.931682e-10,4.7751082992447165,4.787491742782046,7.77855e-05,4.775114591200437,4.787485449759713,0.00012602811,4.77514907860178,4.787450958876068,0.00015506484,4.775158472667706,4.787441562323663,0.00021961813,4.775197126200863,4.787402904654284,0.00017062902,4.775177313044559,4.787422721309827,0.00019927643,4.77520501863087,4.7873950111292025,1.6303626e-07,4.7751647657475855,4.787435269302156,11
108,4.773787754159881,4.81542063418223,0.01215277798473835,0.0034722222480922937,4.7904409063462134,9.895302e-10,4.773787754442862,4.787491742782046,8.372609e-05,4.773794621958149,4.787484874647707,0.00013506712,4.773832066932945,4.787447423930583,0.00017312921,4.7738445537927765,4.787434934839739,0.00024079208,4.773886503097796,4.787392980569081,0.00017739128,4.773860502657071,4.787418984723299,0.0002244576,4.773898214554,4.787381267692393,1.9505661e-07,4.773851418797864,4.787428066708595,12
92,4.77236151922739,4.81776286425019,0.01215277798473835,0.0029513889458030462,4.790522057382483,1.2187229e-09,4.772361519519851,4.787491742782046,9.4447954e-05,4.7723694049972565,4.787483855928842,0.00014434998,4.772409728545017,4.787443527026266,0.00018640138,4.772423770826019,4.787429481056865,0.00026023062,4.772470155134904,4.787383090124471,0.00018100813,4.772437085551899,4.787416167400857,0.00025525736,4.772489391586903,4.787363851275881,2.3014303e-07,4.772431655727817,4.78742159420479,13
355,4.7708066026676,4.8204205990311575,0.01354166679084301,0.0019097222248092294,4.79065220110485,1.1623342e-09,4.770806602502079,4.787491742782046,0.000101278136,4.770815263875523,4.787483079333206,0.00015018694,4.770857983813466,4.787440353983752,0.00019438032,4.770873099977544,4.787425232562275,0.00027836746,4.770925641709642,4.7873726831805,0.00018841708,4.770887176890879,4.787411155496792,0.00028463936,4.77095266861619,4.787345652166918,2.6460611e-07,4.770881762560598,4.787416569117041,14
118,4.769100053550923,4.823447728708498,0.014004629105329514,0.0015625000232830644,4.790839123190073,1.3151293e-09,4.769100052887215,4.787491742782046,0.00011137939,4.769109880098048,4.787481913308115,0.00016116656,4.769156936646815,4.787434849398473,0.00020758918,4.769173320458086,4.787418461796698,0.0002911566,4.769228505439802,4.787363266449916,0.00020386357,4.769189995684889,4.787401785477778,0.00030645996,4.769262296656048,4.787329467785292,3.0172356e-07,4.7691831455661795,4.7874086323244205,15
60,4.767221149321911,4.826901699205513,0.013773147948086262,0.0010416667209938169,4.791093369268092,1.4624675e-09,4.767221149304592,4.787491742782046,0.00012625784,4.767232723486024,4.787480166195677,0.0001716419,4.767284089631784,4.78742879112416,0.00022116363,4.767302246802914,4.787410628509424,0.000305755,4.767361294283019,4.787351568926623,0.00021481469,4.7673196128920035,4.787393260575915,0.00032920553,4.76740222107292,4.787310632981936,3.423231e-07,4.767313818471503,4.787399051924183,16
179,4.765161841093812,4.830859120345391,0.014699073508381844,0.0012152778217568994,4.791440752939863,1.366061e-09,4.765161841356815,4.787491742782046,0.00014055529,4.765175336918991,4.787478244024553,0.00017921928,4.765230675931539,4.787422894472289,0.00023642884,4.765252643167407,4.787400917093592,0.00031911238,4.7653150431514115,4.787338506418397,0.00022466746,4.765269703548711,4.7873838583604185,0.00034856072,4.765362648406506,4.787290889935791,3.8157668e-07,4.765266138275047,4.787387418333621,17
649,4.762906049633529,4.835418836976513,0.015509258955717087,0.0010416667209938169,4.7919111645255015,1.5661499e-09,4.762906049520606,4.787491742782046,0.00015835383,4.762922117333812,4.787475669687843,0.000190354,4.7629833195162,4.787414457754202,0.00024619378,4.763005979013032,4.787391786490612,0.00033103127,4.763074007358229,4.787323741732523,0.000233025,4.7630242839218955,4.787373480592582,0.00036567787,4.763128695731773,4.7872690413386465,4.195246e-07,4.763022046751737,4.787375713397016,18
565,4.760438462565201,4.840694674917004,0.014004629105329514,0.0008680555620230734,4.7925409476711875,1.202352e-09,4.760438462854935,4.787491742782046,0.00018050542,4.7604579924185755,4.787472204025405,0.00019942153,4.760524789381617,4.787405396875896,0.000256198,4.760549357505504,4.787380813778559,0.00034180938,4.7606234075468405,4.787306746379681,0.00023959373,4.760568104262398,4.787362068091301,0.0003778435,4.760683792368138,4.787246343874382,4.5499308e-07,4.760568890240981,4.787361275018007,19
24,4.757745238339458,4.846792278342588,0.01354166679084301,0.0008680555620230734,4.793364054073172,1.0750227e-09,4.757745237894055,4.787491742782046,0.00019899377,4.75776838785832,4.787468582634881,0.00020398985,4.757840180192555,4.787396775475223,0.000266981,4.757869487796076,4.787367450118166,0.0003545531,4.757951499191824,4.7872854156364255,0.00024279873,4.757886491208291,4.78735044932315,0.00039242912,4.758019196041564,4.787217700440286,4.9114897e-07,4.757892637733077,4.787344289965438,20
281,4.7548234938326255,4.853833785593073,0.013773147948086262,0.0008680555620230734,4.794427610666209,5.857146e-10,4.7548234940424985,4.787491742782046,0.00021334618,4.754850371808771,4.787464852963208,0.00020749145,4.754928071844566,4.787387134112986,0.00027666544,4.754962925092791,4.787352259586387,0.0003652493,4.755053592954014,4.787261563494643,0.00024730817,4.754979298394434,4.787335889490898,0.00040643997,4.755130755340997,4.787184377580389,5.2487485e-07,4.754989801040988,4.7873253697692,21
485,4.751678252144664,4.861930495427455,0.01423611119389534,0.0006944444612599909,4.795779149735513,4.9294613e-10,4.751678252606209,4.787491742782046,0.00022474716,4.751709077290259,4.787460902841609,0.0002113216,4.751794207206832,4.787375750701117,0.00028605055,4.751835196663719,4.787334733014625,0.00037287985,4.751933989161799,4.787235906170917,0.0002497061,4.751849521602018,4.787320416627878,0.00041781174,4.752022119573726,4.787147744833041,5.529522e-07,4.751866017181047,4.7873038930787075,22
109,4.748312317068775,4.871214171273495,0.015277777798473835,0.0008680555620230734,4.797473058855058,3.965397e-10,4.748312317352444,4.787491742782046,0.00023345977,4.748347313948471,4.7874567242475985,0.00021264711,4.748439859947503,4.787364154368144,0.00029604055,4.748489855178651,4.787314118506877,0.00037979122,4.748597039185165,4.787206899511718,0.00025269785,4.748501768795335,4.787302219138233,0.00042811158,4.7486974545489105,4.78710644240503,5.7873933e-07,4.748524853670864,4.787279099979037,23
424,4.744746458910216,4.881891512243755,0.014699073508381844,0.0008680555620230734,4.7996044802109665,3.8562575e-10,4.744746458880147,4.787491742782046,0.00024231838,4.744786326730028,4.787451848763736,0.00021501385,4.744887998878727,4.7873501456045835,0.00030751154,4.7449488598973355,4.787289231724191,0.0003872711,4.745065100013771,4.787172947101988,0.0002556695,4.7449568315079285,4.787281279085156,0.0004383562,4.7451792760000595,4.787058724859948,6.0701444e-07,4.744988731132244,4.787249337701364,24
365,4.740996764804369,4.894182966909895,0.014814814552664757,0.0006944444612599909,4.802271245638894,2.764864e-10,4.740996764797691,4.787491742782046,0.00025397897,4.741042764705603,4.78744570741362,0.00022055118,4.741156604395271,4.787331834447349,0.00031602592,4.741225758620442,4.787262611988254,0.00039551183,4.741355023698321,4.787133291429037,0.00025861463,4.74123103476857,4.787257360416831,0.00045111333,4.7414871177963285,4.787001131155851,6.3983487e-07,4.741271758546958,4.7872165766231305,25
616,4.737100339613766,4.9081949142807275,0.015740741044282913,0.0006944444612599909,4.805538169600146,2.2191671e-10,4.737100339773092,4.787491742782046,0.0002642957,4.737153073857683,4.787438963814509,0.0002280563,4.737282423035578,4.787309570677064,0.00032617364,4.737360713967812,4.787231194869494,0.0004047982,4.737504291904173,4.787087551149941,0.00025932843,4.737359142593053,4.787232802163154,0.00046398968,4.737655967024315,4.786935789232931,6.746504e-07,4.7374134481869685,4.78717841591187,26
605,4.733086910760143,4.923797214950863,0.016087962314486504,0.0008680555620230734,4.809371032856658,2.2555469e-10,4.733086911382171,4.787491742782046,0.0002788405,4.733148035860249,4.787430560311321,0.00023674051,4.733294582489114,4.787283957784857,0.00033955133,4.733384710061432,4.787193722508347,0.00041598076,4.733542987185412,4.787035365795412,0.000264033,4.73337641541605,4.787202068389552,0.00048036373,4.733718911369044,4.786859327921878,7.22596e-07,4.733445833683569,4.787132540037624,27
487,4.728973217467058,4.940828002724154,0.01666666567325592,0.0008680555620230734,4.813715131867421,7.8216544e-11,4.728973217957571,4.787491742782046,0.0002996911,4.7290450475486,4.787419837871369,0.00024675514,4.729209901644346,4.787254920103422,0.00035490317,4.729313552796627,4.787151126381041,0.00043307093,4.729492385301096,4.7869721957961815,0.00027199142,4.729299308363917,4.787165438584992,0.00050098205,4.729693906186083,4.78677052012625,7.891719e-07,4.729385379680904,4.787079221463756,28
