,train_loss,test_loss,train_acc,test_acc,all_loss,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,logit_s6_5d_a_rep_trace_similarity,logit_excluded_loss_s6_5d_a_rep,logit_restricted_loss_s6_5d_a_rep,logit_s6_5d_b_rep_trace_similarity,logit_excluded_loss_s6_5d_b_rep,logit_restricted_loss_s6_5d_b_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,epoch
565,6.572118116483948,6.586817954140955,0.00199170527048409,0.0009645061800256371,6.580938019078152,6.505992e-06,6.572118505941408,6.57925082197471,1.0390271e-05,6.572121230915023,6.579248097516398,1.2563805e-05,6.57212188181257,6.579247445997462,1.2176247e-05,6.572121766691016,6.579247562168568,1.51475815e-05,6.572122656574253,6.579246671508276,6.858451e-10,6.572122656574253,6.579246671508276,19
24,6.571467518005989,6.587564321358444,0.0019772376399487257,0.0009323559934273362,6.581125600017465,6.0782204e-06,6.571467900795995,6.579250828448149,1.0383128e-05,6.5714707943981,6.579247935908533,1.2234204e-05,6.5714713775999565,6.579247351853863,1.28215e-05,6.5714715633362815,6.5792471665493455,1.4859857e-05,6.571472206603734,6.5792465234039135,6.7963607e-10,6.571472206603734,6.5792465234039135,20
281,6.570760864931931,6.588361923484943,0.001962770242244005,0.0009484310867264867,6.581321500063738,6.119848e-06,6.570761269516237,6.579250806626652,1.0281497e-05,6.57076427020135,6.579247806738019,1.2264676e-05,6.57076492651696,6.579247149901502,1.3369717e-05,6.570765292392126,6.579246783907713,1.4564841e-05,6.570765688071329,6.579246388077948,6.844679e-10,6.570765688071329,6.579246388077948,21
485,6.569991468683542,6.5892281363994245,0.001967592630535364,0.0009387860191054642,6.581533469313073,6.2487206e-06,6.569991902503161,6.579250777900928,1.0693972e-05,6.569995183842325,6.57924749736776,1.2070423e-05,6.569995661128862,6.5792470192462424,1.3622337e-05,6.569996200456338,6.579246480175649,1.4112649e-05,6.569996371211086,6.579246309861876,6.838376e-10,6.569996371211086,6.579246309861876,22
109,6.5691503883270554,6.590189847436193,0.0020688658114522696,0.0009387860191054642,6.581774063792539,6.0509647e-06,6.569150830184961,6.579250770510264,1.1177308e-05,6.569154465960309,6.5792471343295915,1.2078506e-05,6.569154794261586,6.579246805555957,1.3712683e-05,6.569155390378102,6.579246209379562,1.3969702e-05,6.569155484464291,6.5792461156138575,6.906269e-10,6.569155484464291,6.5792461156138575,23
424,6.568232624225879,6.591276342610805,0.0021363813430070877,0.0009355709771625698,6.582058855256835,6.027527e-06,6.568233086712366,6.579250748612454,1.1664218e-05,6.56823710867106,6.5792467282707445,1.17815e-05,6.568237153712123,6.579246683187557,1.3895845e-05,6.568237965265797,6.579245870430968,1.395525e-05,6.568237988545656,6.579245847595373,6.990323e-10,6.568237988545656,6.579245847595373,24
365,6.567231073060731,6.5925206317742875,0.002117091091349721,0.0008616255363449454,6.5824048082888655,5.7652433e-06,6.567231541507142,6.57925074288952,1.2238822e-05,6.567236051720352,6.5792462326153265,1.1325319e-05,6.567235679534531,6.579246604276176,1.4303775e-05,6.56723689287493,6.5792453924843315,1.3791379e-05,6.567236684276775,6.57924560095365,7.060898e-10,6.567236684276775,6.57924560095365,25
616,6.56614289796921,6.593956722802352,0.0021942516323179007,0.000871270545758307,6.582831192869096,5.6861463e-06,6.56614338986715,6.579250719756162,1.2856574e-05,6.5661484622862325,6.579245646993629,1.0520795e-05,6.5661474518169145,6.579246658044124,1.4245921e-05,6.566149065394657,6.579245045609504,1.391542e-05,6.566148919938881,6.579245188667979,7.0489603e-10,6.566148919938881,6.579245188667979,26
605,6.564967166360358,6.595621735681655,0.002256944542750716,0.0008101851562969387,6.5833599079531355,5.7209854e-06,6.564967696792067,6.579250682279259,1.2984723e-05,6.564973177303545,6.579245200450023,9.952524e-06,6.564971772724493,6.5792466042720825,1.4169324e-05,6.564973724558777,6.579244652013496,1.3961822e-05,6.5649736317781615,6.57924474808111,6.9608763e-10,6.5649736317781615,6.57924474808111,27
487,6.563702120413867,6.597567044923135,0.002281057182699442,0.0007651749183423817,6.584021075119428,5.8181104e-06,6.563702700857116,6.579250632515147,1.2790018e-05,6.5637084888598585,6.579244842457077,9.687576e-06,6.563706946549671,6.579246387503613,1.4288515e-05,6.5637092372807695,6.579244096191877,1.3903797e-05,6.563709044561874,6.579244287785511,6.8876127e-10,6.563709044561874,6.579244287785511,28
81,6.562350551993179,6.5998457390772245,0.002295524813234806,0.0007651749183423817,6.584847664243607,5.9960457e-06,6.562351197423086,6.5792505662088745,1.25539655e-05,6.5623573128464106,6.579244451414478,9.38314e-06,6.562355604112538,6.579246158975829,1.4333832e-05,6.562358270718972,6.5792434929160315,1.3615339e-05,6.562357883084668,6.579243879840421,6.724341e-10,6.562357883084668,6.579243879840421,29
373,6.5609222376975485,6.602491671645361,0.002256944542750716,0.0007555298507213593,6.585863898066236,5.953101e-06,6.5609229335512325,6.579250516145317,1.2414562e-05,6.560929493367212,6.579243956247048,9.375368e-06,6.560927717410107,6.579245732521127,1.4435649e-05,6.560930672930524,6.579242775011167,1.3526489e-05,6.560930144014974,6.579243306375081,6.688122e-10,6.560930144014974,6.579243306375081,30
58,6.559427266119793,6.605525959999284,0.00230999244377017,0.0007651749183423817,6.587086482447488,6.0050334e-06,6.559428028196789,6.579250449012152,1.2082382e-05,6.559434941219398,6.579243536086992,9.233272e-06,6.559433132964404,6.579245346122855,1.4381647e-05,6.559436402103297,6.57924207536625,1.3851146e-05,6.559436066497868,6.579242412393015,6.659837e-10,6.559436066497868,6.579242412393015,31
663,6.557874637054931,6.608962932108367,0.00238715298473835,0.0007394547574222088,6.588527614086993,5.7944853e-06,6.5578754381215765,6.579250411877512,1.1777449e-05,6.557882769235697,6.579243080552158,9.068515e-06,6.55788089633994,6.579244950869738,1.4204352e-05,6.557884442702276,6.579241404955212,1.4335865e-05,6.557884532291057,6.57924131415493,6.6180295e-10,6.557884532291057,6.57924131415493,32
506,6.556274190490473,6.612797894776429,0.002498071175068617,0.0007651749183423817,6.590188413062047,5.7759626e-06,6.556275054857351,6.579250346882347,1.1654273e-05,6.556282918924413,6.579242484080268,9.025034e-06,6.556280950994364,6.5792444531275205,1.4002777e-05,6.556284679099322,6.579240725278288,1.4902256e-05,6.556285349650301,6.579240051654035,6.687901e-10,6.556285349650301,6.579240051654035,33
513,6.554628274304709,6.617003572432836,0.0025270062033087015,0.0007298096898011863,6.5920534531815855,5.8909627e-06,6.554629227934435,6.579250258152976,1.1731345e-05,6.55463777091959,6.5792417143851925,9.12701e-06,6.55463566477739,6.57924382283832,1.4172316e-05,6.5546397474882285,6.579239738190466,1.5735339e-05,6.554641011928341,6.5792384727765345,7.040856e-10,6.554641011928341,6.5792384727765345,34
586,6.552936712129955,6.621513361173795,0.002608989365398884,0.0007426697411574423,6.5940827015562595,5.9767644e-06,6.5529377541194975,6.579250170918538,1.1851129e-05,6.552947032696471,6.579240890276002,9.343956e-06,6.552944848876592,6.579243073896492,1.4279951e-05,6.552949148532921,6.579238774895984,1.673074e-05,6.552951284609207,6.579236640381271,7.473151e-10,6.552951284609207,6.579236640381271,35
