,train_loss,test_loss,train_acc,test_acc,all_loss,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,logit_a5_5d_a_rep_trace_similarity,logit_excluded_loss_a5_5d_a_rep,logit_restricted_loss_a5_5d_a_rep,logit_a5_3d_a_rep_trace_similarity,logit_excluded_loss_a5_3d_a_rep,logit_restricted_loss_a5_3d_a_rep,logit_a5_3d_b_rep_trace_similarity,logit_excluded_loss_a5_3d_b_rep,logit_restricted_loss_a5_3d_b_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,epoch
330,4.094418901619952,4.103382924332822,0.017592592164874077,0.015277777798473835,4.098004511171422,6.4409454e-05,4.094440985321559,4.094322479700524,-3.4882105e-06,4.094417407806432,4.094346057121864,6.69522e-06,4.094420664089284,4.094342799967577,4.1923777e-06,4.094420006104312,4.094343458742715,4.2231476e-09,4.094421767107337,4.094341696488084,0
27,4.089683814477712,4.110998130114464,0.0208333320915699,0.013888888992369175,4.098209540295771,0.00010567932,4.08972132292678,4.094307049243969,6.651142e-05,4.089713321966439,4.094315050262432,-4.933099e-07,4.0896836777126735,4.094344696658354,-1.0341551e-05,4.0896809965978225,4.094347380490261,1.5699078e-08,4.089680860891822,4.094347514926582,1
344,4.0873737563398445,4.119273775023773,0.018981480970978737,0.009722222574055195,4.100133763441252,0.00010419317,4.087418879442017,4.094299432813036,7.948134e-05,4.087416778953747,4.094301529793824,-1.4805119e-06,4.087373261611447,4.094345054530696,-6.577393e-06,4.087371570343025,4.094346749375881,1.7218953e-08,4.087371076268212,4.094347241684477,2
314,4.085827780890604,4.126286566810363,0.021759258583188057,0.009027778171002865,4.102011295276662,8.4181724e-05,4.08586964648262,4.094302686968956,8.3223684e-05,4.085879515126092,4.09429281384254,7.707349e-06,4.085830722182086,4.09434161881938,1.4836463e-05,4.085833443748863,4.094338896243033,1.4292268e-08,4.085836385511935,4.0943359528398675,3
391,4.0843125259547115,4.13116964411655,0.024074073880910873,0.0076388888992369175,4.1030553733411645,8.198194e-05,4.084356043044123,4.0943010352327605,0.000106340245,4.084383073327131,4.094273987672112,3.3781223e-05,4.084326290430765,4.094330792646952,2.2623557e-05,4.084321744739989,4.094335340624178,1.9682282e-08,4.084335509077754,4.094321571049968,4
153,4.082681025707044,4.134150196941905,0.023148147389292717,0.0069444444961845875,4.103268694228747,9.9332465e-05,4.082734595738359,4.0942909792131905,0.00014049478,4.082775724837646,4.094249828182084,6.506755e-05,4.082707961355152,4.094317615560607,3.6306563e-05,4.082696055915014,4.094329526443619,3.5157676e-08,4.082722993426632,4.09430257978133,5
23,4.081036765673814,4.135940622480495,0.023148147389292717,0.008333333767950535,4.10299830805172,0.00012181605,4.081101728010491,4.09427958148237,0.00016434351,4.081146301430266,4.094234979352018,9.174968e-05,4.081074323854499,4.094306988065842,4.451853e-05,4.08105499013996,4.094326330575015,5.2247845e-08,4.08109254914299,4.094288756417063,6
378,4.0794075070978195,4.137286084453526,0.023148147389292717,0.008333333767950535,4.102558937954993,0.00014612311,4.0794837726579685,4.09426827414846,0.0001889958,4.079530790571321,4.094221223388803,9.781902e-05,4.079446697182133,4.094305355039985,5.900307e-05,4.079431145736268,4.09432091297698,7.0121295e-08,4.079470335790245,4.094281705791508,7
507,4.077713960532174,4.138636250471808,0.024074073880910873,0.008333333767950535,4.102082876706302,0.00017703288,4.077804234957263,4.094254257707544,0.00024716518,4.077871485977939,4.094186963497817,0.00012223533,4.077761808750459,4.094296692942133,7.520504e-05,4.077743402143384,4.094315110714659,1.1302854e-07,4.077791246983365,4.094267241436888,8
723,4.075919010172928,4.140254447148033,0.02500000037252903,0.0069444444961845875,4.101653184602945,0.00022167552,4.076029698939831,4.0942338336189295,0.00031134672,4.076113316308788,4.094150162240025,0.00015754675,4.07597939649144,4.0942841456416454,9.600705e-05,4.07595581169246,4.0943077450571455,1.8011515e-07,4.076016198473915,4.094247328480856,9
